WORSHIPFƲL	WORSHIPFƲL	np1	WORSHIPFƲL	WORSHIPFƲL	0
,	,	,	,	,	0
MAay	MAay	n1	MAay	maay	0
it	it	pn31	it	it	0
please	please	vvb	please	please	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
me	me	pno11	me	i	0
leave	leave	vvi	leave	leave	0
to	to	p-acp	to	to	0
de	de	dt	the	the	0
∣	∣	sy	∣	∣	0
dicate	dicate	vvb	dicate	dicate	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
this	this	d	this	this	0
little	little	j	little	little	0
Tract	Tract	n1	Tract	tract	0
of	of	pp-f	of	of	0
The	The	dt	The	the	0
Saints	Saints	ng1	Saints	saint	0
Assurance	Assurance	n1	Assurance	assurance	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Person	Person	n1	Person	person	0
so	so	av	so	so	0
enobled	enobled	vvd	ennobled	ennoble	0
with	with	p-acp	with	with	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
God's	God's	npg1	God's	God	0
Grace	Grace	n1	Grace	grace	0
enabling	enabling	vvg	enabling	enable	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
you	you	pn22	you	you	0
wil	wil	vmb	will	will	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
Patronize	Patronize	vvi	Patronise	patronize	0
it	it	pn31	it	it	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
promote	promote	vvi	promote	promote	0
my	my	po11	my	my	0
grand	grand	j	grand	grand	0
design	design	n1	design	design	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
