AFTER	AFTER	p-acp	AFTER	after	0
seven	seven	crd	seven	seven	0
yeares	yeares	n2	years	year	0
March	March	vvb	March	march	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
warres	warres	n2	wars	war	0
of	of	pp-f	of	of	0
Germany	Germany	np1	Germany	Germany	0
with	with	p-acp	with	with	0
one	one	crd	one	one	0
Regiment	Regiment	n1	Regiment	regiment	0
,	,	,	,	,	0
it	it	pn31	it	it	0
being	being	vbg	being	be	0
rent	rent	vvn	rend	rend	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
battell	battell	n1	battle	battle	0
of	of	pp-f	of	of	0
Nerlin	Nerlin	np1	Nerlin	Nerlin	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
last	last	ord	last	last	0
I	I	pns11	I	i	0
retired	retired	vvd	retired	retire	0
unto	unto	p-acp	unto	unto	0
Britaine	Britaine	np1	Britaine	Britain	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
levie	levie	vvi	levy	levy	0
againe	againe	av	again	again	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
fur	fur	n1	fur	fur	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
advancement	advancement	n1	advancement	advancement	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
good	good	j	good	good	0
cause	cause	n1	cause	cause	0
,	,	,	,	,	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Court	Court	n1	Court	court	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
attending	attending	vvg	attending	attend	0
imployment	imployment	n1	employment	employment	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
expresse	expresse	vvi	express	express	0
my	my	po11	my	my	0
love	love	n1	love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
humble	humble	j	humble	humble	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
cts	cts	n1	cts	cts	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
Highnesse	Highnesse	n1	Highness	highness	0
,	,	,	,	,	0
having	having	vhg	having	have	0
bin	bin	vbn	been	be	0
an	an	dt	and	a	0
eye-witnesse	eye-witnesse	n1	eyewitness	eyewitness	0
the	the	dt	the	the	0
accidents	accidents	n2	accidents	accident	0
most	most	av-ds	most	most	0
remarkable	remarkable	j	remarkable	remarkable	0
,	,	,	,	,	0
