FOR	FOR	p-acp	FOR	for	0
AS	AS	p-acp	AS	as	0
MVCHE	MVCHE	d	MUCH	much	0
(	(	(	(	(	0
RIGHTE	RIGHTE	j-jn	RIGHT	right	0
HONORA	HONORA	np1	HONORA	Honora	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
)	)	)	)	)	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
office	office	n1	office	office	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
standethe	standethe	vvz	standeth	stand	0
chyefely	chyefely	av-j	chyefely	chyefe	0
in	in	p-acp	in	in	0
two	two	crd	two	two	0
poyntes	poyntes	n2	points	point	0
,	,	,	,	,	0
the	the	dt	the	the	0
one	one	pi	one	one	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
serue	serue	vvi	serve	serve	0
God	God	np1	God	God	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
him	him	pno31	him	he	0
selfe	selfe	n1	self	self	0
hathe	hathe	vhz	hath	have	0
appointed	appointed	vvn	appointed	appoint	0
,	,	,	,	,	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
truely	truely	av-j	truly	true	0
to	to	pc-acp	to	to	0
serue	serue	vvi	serve	serve	0
his	his	po31	his	his	0
countrey	countrey	n1	country	country	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
wishe	wishe	vvi	wish	wish	0
wel	wel	av	well	well	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
al	al	d	all	all	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
mai	mai	fw-gr	mai	mai	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
turne	turne	vvi	turn	turn	0
into	into	p-acp	into	into	0
oure	oure	po12	our	our	0
Englishe	Englishe	jp	English	english	0
tonge	tonge	n1	tongue	tongue	0
:	:	:	:	:	0
these	these	d	these	these	0
two	two	crd	two	two	0
Bokes	Bokes	n2	Books	book	0
folowing	folowing	vvg	following	follow	0
,	,	,	,	,	0
therby	therby	av	thereby	thereby	0
to	to	p-acp	to	to	0
proffyte	proffyte	n1	proffyte	proffyte	0
suche	suche	d	such	such	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
seruile	seruile	j	servile	servile	0
spiryte	spiryte	n1	spirit	spirit	0
,	,	,	,	,	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
endyd	endyd	vvn	ended	end	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
