ight	ight	wd	ight	ight	0
Honourable	Honourable	np1	Honourable	Honourable	0
:	:	:	:	:	0
IN	IN	p-acp	IN	in	0
liew	liew	n1	lieu	lieu	0
of	of	pp-f	of	of	0
thankes	thankes	n2	thanks	thanks	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
now	now	av	now	now	0
become	become	vvn	become	become	0
your	your	po22	your	your	0
remem	remem	fw-la	remem	remem	0
∣	∣	sy	∣	∣	0
brancer	brancer	n1	brancer	brancer	0
for	for	p-acp	for	for	0
Almes	Almes	n2	Alms	alm	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
those	those	d	those	those	0
spirituall	spirituall	j	spiritual	spiritual	0
;	;	;	;	;	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
distributed	distributed	vvn	distributed	distribute	0
only	only	av-j	only	only	0
by	by	p-acp	by	by	0
such	such	d	such	such	0
on	on	p-acp	on	on	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
spirit	spirit	n1	spirit	spirit	0
of	of	pp-f	of	of	0
glory	glory	n1	glory	glory	0
resteth	resteth	vvz	rests	rest	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
conferred	conferred	vvn	conferred	confer	0
chiefly	chiefly	av-jn	chiefly	chief	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
glorious	glorious	j	glorious	glorious	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
mi	mi	fw-mi	mi	mi	0
∣	∣	sy	∣	∣	0
litant	litant	n1	litant	litant	0
I	I	pns11	I	i	0
meane	meane	vvb	mean	mean	0
,	,	,	,	,	0
all	all	d	all	all	0
glori	glori	fw-la	glori	glori	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
within	within	a-acp	within	within	0
.	.	.	.	.	1
Was	Was	vbds	Was	be	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Rulers	Rulers	n2	Rulers	ruler	0
and	and	cc	and	and	0
Princes	Princes	n2	Princes	prince	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Tribes	Tribes	n2	Tribes	tribe	0
of	of	pp-f	of	of	0
Israell	Israell	np1	Israell	Israel	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
willingly	willingly	av-j	willingly	willing	0
among	among	p-acp	among	among	0
Gods	Gods	npg1	Gods	God	0
people	people	n1	people	people	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
frame	frame	n1	frame	frame	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Tabernacle	Tabernacle	n1	Tabernacle	tabernacle	0
,	,	,	,	,	0
and	and	cc	and	and	0
fabrique	fabrique	n1	fabric	fabric	0
