BEseecheth	BEseecheth	vvz	BEseecheth	beseech	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
Excellent	Excellent	j	Excellent	excellent	0
Majesty	Majesty	n1	Majesty	majesty	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
humble	humble	j	humble	humble	0
Subject	Subject	j-jn	Subject	subject	0
Thomas	Thomas	np1	Thomas	Thomas	0
le	le	fw-fr	le	le	0
Ware	Ware	n1	Ware	ware	0
Kr	Kr	np1	Kr	Kr	0
:	:	:	:	:	0
That	That	cst	That	that	0
whereas	whereas	cs	whereas	whereas	0
Thomas	Thomas	np1	Thomas	Thomas	0
sometimes	sometimes	av	sometime	sometime	0
Lord	Lord	n1	Lord	lord	0
Le	Le	fw-fr	Le	le	0
Ware	Ware	n1	Ware	ware	0
,	,	,	,	,	0
Ancestor	Ancestor	n1	Ancestor	ancestor	0
and	and	cc	and	and	0
great	great	j	great	great	0
Grandfather	Grandfather	n1	Grandfather	grandfather	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
said	said	zz	said	said	0
Sub	Sub	fw-la	Sub	sub	0
∣	∣	sy	∣	∣	0
ject	ject	n1	ject	ject	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
Heir	Heir	n1	Heir	heir	0
Male	Male	j-jn	Male	male	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
,	,	,	,	,	0
That	That	cst	That	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
your	your	po22	your	your	0
Subject	Subject	j-jn	Subject	subject	0
is	is	vbz	is	be	0
Son	Son	n1	Son	son	0
and	and	cc	and	and	0
Heir	Heir	n1	Heir	heir	0
to	to	p-acp	to	to	0
William	William	np1	William	William	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
Son	Son	n1	Son	son	0
and	and	cc	and	and	0
Heir	Heir	n1	Heir	heir	0
to	to	p-acp	to	to	0
George	George	np1	George	George	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
Brother	Brother	n1	Brother	brother	0
and	and	cc	and	and	0
Heir	Heir	n1	Heir	heir	0
to	to	p-acp	to	to	0
Thomas	Thomas	np1	Thomas	Thomas	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
Son	Son	n1	Son	son	0
and	and	cc	and	and	0
Heir	Heir	n1	Heir	heir	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Thomas	Thomas	np1	Thomas	Thomas	0
your	your	po22	your	your	0
Subject's	Subject's	ng1-jn	Subject's	subject	0
