SOme	SOme	d	SOme	some	0
dayes	dayes	n2	days	day	0
past	past	j	past	past	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
came	came	vvd	came	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
hands	hands	n2	hands	hand	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
the	the	dt	the	the	0
Commissio	Commissio	np1	Commissio	Commissio	0
∣	∣	sy	∣	∣	0
ners	ners	zz	ners	ners	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Navie	Navie	n1	Navy	navy	0
,	,	,	,	,	0
a	a	dt	a	a	0
Pamphlet	Pamphlet	n1	Pamphlet	pamphlet	0
,	,	,	,	,	0
published	published	vvn	published	publish	0
in	in	p-acp	in	in	0
print	print	n1	print	print	0
by	by	p-acp	by	by	0
Andrewes	Andrewes	npg1	Andrewes	Andrew	0
Burrell	Burrell	np1	Burrell	Burrell	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
Navie	Navie	n1	Navy	navy	0
,	,	,	,	,	0
(	(	(	(	(	0
a	a	dt	a	a	0
businesse	businesse	n1	business	business	0
then	then	av	then	then	0
depending	depending	vvg	depending	depend	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
Honourable	Honourable	j	Honourable	honourable	0
Committee	Committee	n1	Committee	committee	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Admiralty	Admiralty	n1	Admiralty	admiralty	0
.	.	.	.	.	0
)	)	)	)	)	1
We	We	pns12	We	we	0
much	much	d	much	much	0
wondered	wondered	vvd	wondered	wonder	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
boldnesse	boldnesse	n1	boldness	boldness	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
subscri	subscri	fw-la	subscri	subscri	0
∣	∣	sy	∣	∣	0
bing	bing	zz	bing	bing	0
,	,	,	,	,	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Scandals	Scandals	n2	Scandals	scandal	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
body	body	n1	body	body	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Pamphlet	Pamphlet	n1	Pamphlet	pamphlet	0
;	;	;	;	;	0
he	he	pns31	he	he	0
daring	daring	vvg	daring	dare	0
to	to	pc-acp	to	to	0
direct	direct	vvi	direct	direct	0
it	it	pn31	it	it	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
;	;	;	;	;	0
and	and	cc	and	and	0
therein	therein	av	therein	therein	0
scandalizing	scandalizing	j-vvg	scandalizing	scandalize	0
the	the	dt	the	the	0
Navie-royall	Navie-royall	j	Navy-royal	navy-royal	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kingdom	kingdom	n1	kingdom	kingdom	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
the	the	dt	the	the	0
Officers	Officers	n2	Officers	officer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
Admirals	Admirals	n2	Admirals	admiral	0
,	,	,	,	,	0
Vice-Admirals	Vice-Admirals	ng1	Vice-Admirals	vice-admirals	0
,	,	,	,	,	0
and	and	cc	and	and	0
Rear-Admirals	Rear-Admirals	ng1	Rear-Admirals	rear-admirals	0
,	,	,	,	,	0
Commissioners	Commissioners	n2	Commissioners	commissioner	0
,	,	,	,	,	0
Collectors	Collectors	n2	Collectors	collector	0
,	,	,	,	,	0
Trinity-house	Trinity-house	n1	Trinity-house	trinity-house	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
;	;	;	;	;	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
and	and	cc	and	and	0
beyond	beyond	p-acp	beyond	beyond	0
this	this	d	this	this	0
,	,	,	,	,	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Members	Members	n2	Members	member	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
the	the	dt	the	the	0
honour	honour	n1	honour	honour	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
Houses	Houses	n2	Houses	house	0
of	of	pp-f	of	of	0
Parliament	Parliament	n1	Parliament	parliament	0
.	.	.	.	.	1
We	We	pns12	We	we	0
are	are	vbr	are	be	0
confident	confident	j	confident	confident	0
those	those	d	those	those	0
aspersions	aspersions	n2	aspersions	aspersion	0
and	and	cc	and	and	0
brain-sick	brain-sick	j	brainsick	brainsick	0
Notions	Notions	n2	Notions	notion	0
,	,	,	,	,	0
so	so	av	so	so	0
plainly	plainly	av-j	plainly	plain	0
dis	dis	zf	dis	this	0
∣	∣	sy	∣	∣	0
covering	covering	n-vvg	covering	cover	0
his	his	po31	his	his	0
discontentednesse	discontentednesse	n1	discontentedness	discontentedness	0
,	,	,	,	,	0
and	and	cc	and	and	0
self-ends	self-ends	n2	self-ends	self-end	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
apparently	apparently	av-j	apparently	apparent	0
tending	tending	vvg	tending	tend	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
destruction	destruction	n1	destruction	destruction	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Royall	Royall	j	Royal	royal	0
Navie	Navie	n1	Navy	navy	0
,	,	,	,	,	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
get	get	vvi	get	get	0
the	the	dt	the	the	0
least	least	ds	least	least	0
credit	credit	n1	credit	credit	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
,	,	,	,	,	0
lest	lest	cs	lest	lest	0
this	this	d	this	this	0
Pamphlet	Pamphlet	n1	Pamphlet	pamphlet	0
should	should	vmd	should	shall	0
work	work	vvi	work	work	0
such	such	d	such	such	0
ill	ill	j-jn	ill	ill	0
effect	effect	n1	effect	effect	0
abroad	abroad	av	abroad	abroad	0
,	,	,	,	,	0
that	that	cst	that	that	0
after	after	p-acp	after	after	0
your	your	po22	your	your	0
