RIght	RIght	av-jn	RIght	right	0
Worshipfull	Worshipfull	j	Worshipful	worshipful	0
,	,	,	,	,	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
write	write	vvi	write	write	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
but	but	p-acp	but	but	0
as	as	a-acp	as	as	0
vnto	vnto	p-acp	unto	unto	0
a	a	dt	a	a	0
stranger	stranger	n1	stranger	stranger	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
such	such	d	such	such	0
a	a	dt	a	a	0
stranger	stranger	n1	stranger	stranger	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
whome	whome	ro-crq	whom	who	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
perceiued	perceiued	vvn	perceived	perceive	0
great	great	j	great	great	0
good	good	j	good	good	0
wil	wil	n1	will	will	0
&	&	cc	&	and	0
kind	kind	n1	kind	kind	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
toward	toward	p-acp	towards	towards	0
me	me	pno11	me	i	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
solue	solue	vvi	solve	solve	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
count	count	n1	count	count	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
friende	friende	n1	friend	friend	0
;	;	;	;	;	0
whereof	whereof	c-crq	whereof	whereof	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
some	some	d	some	some	0
triall	triall	n1	trial	trial	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
giuen	giuen	vvn	given	give	0
a	a	dt	a	a	0
great	great	j	great	great	0
token	token	n1	token	token	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
preferment	preferment	n1	preferment	preferment	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
sister	sister	n1	sister	sister	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
both	both	av-d	both	both	0
she	she	pns31	she	she	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
bound	bound	vvn	bound	bind	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
