Thrice	Thrice	av	Thrice	thrice	0
Noble	Noble	j	Noble	noble	0
and	and	cc	and	and	0
Valiant	Valiant	j	Valiant	valiant	0
Heroes	Heroes	n2	Heroes	hero	0
,	,	,	,	,	0
THe	THe	dt	THe	the	0
state	state	n1	state	state	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
gregated	gregated	j-vvn	gregated	gregate	0
,	,	,	,	,	0
or	or	cc	or	or	0
scattered	scattered	vvn	scattered	scatter	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
spirituals	spirituals	n2	spirituals	spiritual	0
,	,	,	,	,	0
or	or	cc	or	or	0
tempo	tempo	fw-it	tempo	tempo	0
∣	∣	sy	∣	∣	0
rals	rals	n2-j	rals	rals	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
un	un	j	un	unacustomated	0
∣	∣	sy	∣	∣	0
fitly	fitly	av-j	fitly	fit	0
bee	bee	vbi	be	be	0
compared	compared	vvn	compared	compare	0
to	to	p-acp	to	to	0
Noah	Noah	np1	Noah	Noah	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Arke	Arke	n1	Ark	ark	0
.	.	.	.	.	1
If	If	cs	If	if	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
demand	demand	vvi	demand	demand	0
where	where	c-crq	where	where	0
∣	∣	sy	∣	∣	0
in	in	p-acp	in	in	0
was	was	vbds	was	be	0
Noahs	Noahs	npg1	Noahs	Noah	0
safety	safety	n1	safety	safety	0
?	?	?	?	?	1
Was	Was	vbds	Was	be	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Arke	Arke	n1	Ark	ark	0
,	,	,	,	,	0
or	or	cc	or	or	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
?	?	?	?	?	1
I	I	pns11	I	i	0
answer	answer	vvb	answer	answer	0
,	,	,	,	,	0
First	First	ord	First	first	0
,	,	,	,	,	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Arke	Arke	n1	Ark	ark	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
there	there	a-acp	there	there	0
was	was	vbds	was	be	0
ly	ly	vvb	lie	lie	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
,	,	,	,	,	0
and	and	cc	and	and	0
beares	beares	vvz	bears	bear	0
,	,	,	,	,	0
and	and	cc	and	and	0
ravenous	ravenous	j	ravenous	ravenous	0
beasts	beasts	n2	beasts	beast	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
the	the	dt	the	the	0
uncleane	uncleane	j	unclean	unclean	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
cleane	cleane	av-j	clean	clean	0
,	,	,	,	,	0
Gen.	Gen.	np1	Gen.	Gen.	1
7.2	7.2	crd	7.2	7.2	0
.	.	.	.	.	1
Secondly	Secondly	ord	Secondly	second	0
,	,	,	,	,	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Arke	Arke	n1	Ark	ark	0
no	no	dx	no	no	0
safety	safety	n1	safety	safety	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
there	there	a-acp	there	there	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
roaring	roaring	j-vvg	roaring	roar	0
winds	winds	n2	winds	wind	0
,	,	,	,	,	0
the	the	dt	the	the	0
ra	ra	zz	ra	ra	0
∣	∣	sy	∣	∣	0
ging	ging	n1	ging	ging	0
waves	waves	n2	waves	wave	0
beating	beating	vvg	beating	beat	0
,	,	,	,	,	0
and	and	cc	and	and	0
hee	hee	pns31	he	he	0
no	no	dx	no	no	0
Pilot	Pilot	n1	Pilot	pilot	0
,	,	,	,	,	0
knew	knew	vvd	knew	know	0
not	not	xx	not	not	0
what	what	r-crq	what	what	0
course	course	n1	course	course	0
to	to	pc-acp	to	to	0
steare	steare	vvi	steer	steer	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
no	no	dx	no	no	0
haven	haven	n1	haven	haven	0
to	to	p-acp	to	to	0
friend	friend	n1	friend	friend	0
;	;	;	;	;	0
the	the	dt	the	the	0
waters	waters	n2	waters	water	0
so	so	av	so	so	0
prevailed	prevailed	vvn	prevailed	prevail	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
all	all	d	all	all	0
the	the	dt	the	the	0
high	high	j	high	high	0
