DIVERS	DIVERS	j	DIVERSE	diverse	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
amongst	amongst	p-acp	among	among	0
the	the	dt	the	the	0
variety	variety	n1	variety	variety	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
though	though	cs	though	though	0
they	they	pns32	they	they	0
desire	desire	vvb	desire	desire	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
Wealth	Wealth	n1	Wealth	wealth	0
do	do	vdi	do	do	0
not	not	xx	not	not	0
know	know	vvi	know	know	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
get	get	vvi	get	get	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Others	Others	n2-jn	Others	other	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
though	though	cs	though	though	0
they	they	pns32	they	they	0
know	know	vvb	know	know	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
get	get	vvi	get	get	0
it	it	pn31	it	it	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
either	either	d	either	either	0
the	the	dt	the	the	0
patience	patience	n1	patience	patience	0
,	,	,	,	,	0
or	or	cc	or	or	0
will	will	vmb	will	will	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
the	the	dt	the	the	0
paynes	paynes	n2	pains	pain	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
it	it	pn31	it	it	0
.	.	.	.	.	1
And	And	cc	And	and	0
other	other	j-jn	other	other	0
some	some	d	some	some	0
also	also	av	also	also	0
there	there	a-acp	there	there	0
are	are	vbr	are	be	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
it	it	pn31	it	it	0
either	either	av-d	either	either	0
left	left	vvd	left	leave	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
or	or	cc	or	or	0
gotten	gotten	vvn	got	get	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
industry	industry	n1	industry	industry	0
,	,	,	,	,	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
know	know	vvi	know	know	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
keep	keep	vvi	keep	keep	0
it	it	pn31	it	it	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	cst	that	that	0
the	the	dt	the	the	0
way	way	n1	way	way	0
