SIRS	SIRS	np1	SIRS	Sirs	0
;	;	;	;	;	0
THe	THe	dt	THe	the	0
great	great	j	great	great	0
ends	ends	n2	ends	end	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
set	set	vvn	set	set	0
and	and	cc	and	and	0
maintained	maintained	vvn	maintained	maintain	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
world	world	n1	world	world	0
,	,	,	,	,	0
are	are	vbr	are	be	0
1.	1.	crd	1.	1.	1
To	To	p-acp	To	to	0
get	get	vvi	get	get	0
new	new	j	new	new	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
prepare	prepare	vvi	prepare	prepare	0
for	for	p-acp	for	for	0
another	another	j-jn	another	another	0
world	world	n1	world	world	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	1
To	To	p-acp	To	to	0
live	live	vvi	live	live	0
to	to	p-acp	to	to	0
,	,	,	,	,	0
and	and	cc	and	and	0
walk	walk	vvi	walk	walk	0
with	with	p-acp	with	with	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
serve	serve	vvi	serve	serve	0
our	our	po12	our	our	0
Generation	Generation	n1	Generation	generation	0
;	;	;	;	;	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
so	so	av	so	so	0
do	do	vdb	do	do	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
look	look	vvi	look	look	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
and	and	cc	and	and	0
receive	receive	vvi	receive	receive	0
from	from	p-acp	from	from	0
God	God	np1	God	God	0
,	,	,	,	,	0
the	the	dt	the	the	0
por	por	zz	por	por	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
Blessings	Blessings	n2	Blessings	blessing	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
provided	provided	vvn	provided	provide	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
and	and	cc	and	and	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
mised	mised	vvn	mised	miss	0
to	to	pc-acp	to	to	0
bestow	bestow	vvi	bestow	bestow	0
on	on	p-acp	on	on	0
us	us	pno12	us	we	0
here	here	av	here	here	0
.	.	.	.	.	1
We	We	pns12	We	we	0
are	are	vbr	are	be	0
all	all	d	all	all	0
,	,	,	,	,	0
and	and	cc	and	and	0
every	every	d	every	every	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
,	,	,	,	,	0
indispensably	indispensably	av-j	indispensably	indispensable	0
bound	bound	vvn	bound	bind	0
to	to	pc-acp	to	to	0
endeavour	endeavour	vvi	endeavour	endeavour	0
all	all	d	all	all	0
we	we	pns12	we	we	0
can	can	vmb	can	can	0
to	to	p-acp	to	to	0
obtain	obtain	vvi	obtain	obtain	0
and	and	cc	and	and	0
prosecute	prosecute	vvi	prosecute	prosecute	0
these	these	d	these	these	0
ends	ends	n2	ends	end	0
,	,	,	,	,	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
cause	cause	vvb	cause	cause	0
otherwise	otherwise	av	otherwise	otherwise	0
we	we	pns12	we	we	0
shall	shall	vmb	shall	shall	0
all	all	d	all	all	0
perish	perish	vvi	perish	perish	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
this	this	d	this	this	0
world	world	n1	world	world	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
our	our	po12	our	our	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
Grace	Grace	n1	Grace	grace	0
to	to	pc-acp	to	to	0
fit	fit	vvi	fit	fit	0
us	us	pno12	us	we	0
for	for	p-acp	for	for	0
glory	glory	n1	glory	glory	0
;	;	;	;	;	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
wise	wise	j	wise	wise	0
,	,	,	,	,	0
and	and	cc	and	and	0
do	do	vdb	do	do	0
faithfully	faithfully	av-j	faithfully	faithful	0
improve	improve	vvi	improve	improve	0
it	it	pn31	it	it	0
,	,	,	,	,	0
we	we	pns12	we	we	0
shall	shall	vmb	shall	shall	0
assuredly	assuredly	av-vvn	assuredly	assure	0
reap	reap	vvi	reap	reap	0
the	the	dt	the	the	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
another	another	j-jn	another	another	0
world	world	n1	world	world	0
;	;	;	;	;	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
the	the	dt	the	the	0
earnest	earnest	j	earnest	earnest	0
or	or	cc	or	or	0
first-fruits	first-fruits	n2	firstfruits	first-fruit	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
here	here	av	here	here	0
.	.	.	.	.	1
You	You	pn22	You	you	0
have	have	vhb	have	have	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
little	little	j	little	little	0
uncertain	uncertain	j	uncertain	uncertain	0
time	time	n1	time	time	0
here	here	av	here	here	0
to	to	pc-acp	to	to	0
run	run	vvi	run	run	0
your	your	po22	your	your	0
Race	Race	n1	Raze	race	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
prepare	prepare	vvi	prepare	prepare	0
for	for	p-acp	for	for	0
Eternal	Eternal	j	Eternal	eternal	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
neglect	neglect	vvb	neglect	neglect	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
purpose	purpose	n1	purpose	purpose	0
here	here	av	here	here	0
,	,	,	,	,	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
most	most	av-ds	most	most	0
certainly	certainly	av-j	certainly	certain	0
be	be	vbi	be	be	0
shut	shut	vvn	shut	shut	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Heaven	Heaven	n1	Heaven	heaven	0
hereafter	hereafter	av	hereafter	hereafter	0
,	,	,	,	,	0
Mat.	Mat.	np1	Mat.	Mat	1
25	25	crd	25	25	0
.	.	.	.	.	1
1-13	1-13	j	1-13	1-13	0
.	.	.	.	.	0
v.	v.	n1	v.	v.	0
If	If	cs	If	if	0
you	you	pn22	you	you	0
trifle	trifle	vvb	trifle	trifle	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
and	and	cc	and	and	0
seem	seem	vvi	seem	seem	0
indifferent	indifferent	j	indifferent	indifferent	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
wise	wise	j	wise	wise	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
play	play	vvb	play	play	0
the	the	dt	the	the	0
fool	fool	n1	fool	fool	0
,	,	,	,	,	0
and	and	cc	and	and	0
err	err	vvb	err	err	0
exceedingly	exceedingly	av-vvg	exceedingly	exceed	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
find	find	vvi	find	find	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
cost	cost	n1	cost	cost	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
last	last	ord	last	last	0
day	day	n1	day	day	0
,	,	,	,	,	0
if	if	cs	if	if	0
not	not	xx	not	not	0
before	before	a-acp	before	before	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
prevent	prevent	vvi	prevent	prevent	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
you	you	pn22	you	you	0
truly	truly	av-j	truly	true	0
wise	wise	j	wise	wise	0
,	,	,	,	,	0
sensible	sensible	j	sensible	sensible	0
,	,	,	,	,	0
seri	seri	fw-la	seri	seri	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
,	,	,	,	,	0
and	and	cc	and	and	0
diligent	diligent	j	diligent	diligent	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
and	and	cc	and	and	0
about	about	p-acp	about	about	0
your	your	po22	your	your	0
everlasting	everlasting	j	everlasting	everlasting	0
concerns	concerns	vvz	concerns	concern	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
written	written	vvn	written	write	0
this	this	d	this	this	0
little	little	j	little	little	0
Book	Book	n1	Book	book	0
,	,	,	,	,	0
and	and	cc	and	and	0
do	do	vdb	do	do	0
present	present	vvi	present	present	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
serious	serious	j	serious	serious	0
and	and	cc	and	and	0
faithful	faithful	j	faithful	faithful	0
consideration	consideration	n1	consideration	consideration	0
and	and	cc	and	and	0
improvement	improvement	n1	improvement	improvement	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
unfain	unfain	av	unfain	unfain	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
love	love	vvb	love	love	0
and	and	cc	and	and	0
cordial	cordial	j	cordial	cordial	0
affection	affection	n1	affection	affection	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
assure	assure	vvi	assure	assure	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
bowels	bowels	n2	bowels	bowel	0
of	of	pp-f	of	of	0
love	love	n1	love	love	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
and	and	cc	and	and	0
soul	soul	n1	soul	soul	0
do	do	vdb	do	do	0
pray	pray	vvi	pray	pray	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
and	and	cc	and	and	0
endeavour	endeavour	vvb	endeavour	endeavour	0
your	your	po22	your	your	0
Regeneration	Regeneration	n1	Regeneration	regeneration	0
and	and	cc	and	and	0
Salvation	Salvation	n1	Salvation	salvation	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
you	you	pn22	you	you	0
see	see	vvb	see	see	0
,	,	,	,	,	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
convinced	convinced	vvn	convinced	convince	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
constant	constant	j	constant	constant	0
,	,	,	,	,	0
free	free	j	free	free	0
,	,	,	,	,	0
and	and	cc	and	and	0
unwearied	unwearied	j	unwearied	unwearied	0
labours	labours	n2	labours	labour	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
accord	accord	n1	accord	accord	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
small	small	j	small	small	0
Talent	Talent	n1	Talon	talon	0
.	.	.	.	.	1
The	The	dt	The	the	0
great	great	j	great	great	0
and	and	cc	and	and	0
holy	holy	j	holy	holy	0
God	God	np1	God	God	0
knows	knows	vvz	knows	know	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
seek	seek	vvb	seek	seek	0
not	not	xx	not	not	0
yours	yours	png22	yours	you	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
you	you	pn22	you	you	0
can	can	vmb	can	can	0
all	all	d	all	all	0
bear	bear	vvi	bear	bear	0
me	me	pno11	me	i	0
witness	witness	vvi	witness	witness	0
;	;	;	;	;	0
having	having	vhg	having	have	0
once	once	a-acp	once	once	0
and	and	cc	and	and	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
gain	gain	n1	gain	gain	0
told	told	vvd	told	tell	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
Dedicated	Dedicated	vvn	Dedicated	dedicate	0
my	my	po11	my	my	0
poor	poor	j	poor	poor	0
La	La	fw-fr	La	la	0
∣	∣	sy	∣	∣	0
bours	bours	n2	bours	bour	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Free-will	Free-will	j	Freewill	freewill	0
Offering	Offering	vvg	Offering	offer	0
unto	unto	p-acp	unto	unto	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
service	service	n1	service	service	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Souls	Souls	n2	Souls	soul	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
look	look	vvi	look	look	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
or	or	cc	or	or	0
expect	expect	vvb	expect	expect	0
any	any	d	any	any	0
