AMong	AMong	p-acp	AMong	among	0
all	all	d	all	all	0
the	the	dt	the	the	0
infinit	infinit	j	infinite	infinite	0
good	good	j	good	good	0
blessings	blessings	n2	blessings	blessing	0
,	,	,	,	,	0
right	right	av-jn	right	right	0
honorable	honorable	j	honourable	honourable	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
bestowed	bestowed	vvn	bestowed	bestow	0
vpon	vpon	p-acp	upon	upon	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thinke	thinke	vvb	think	think	0
none	none	pix	none	none	0
more	more	av-dc	more	more	0
expedient	expedient	j	expedient	expedient	0
and	and	cc	and	and	0
necessarie	necessarie	j	necessary	necessary	0
,	,	,	,	,	0
than	than	cs	than	than	0
the	the	dt	the	the	0
vse	vse	n1	use	use	0
and	and	cc	and	and	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
histories	histories	n2	histories	history	0
and	and	cc	and	and	0
chronicles	chronicles	n2	chronicles	chronicle	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
assured	assured	j-vvn	assured	assure	0
registers	registers	n2	registers	register	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
innumerable	innumerable	j	innumerable	innumerable	0
benefits	benefits	n2	benefits	benefit	0
and	and	cc	and	and	0
commodities	commodities	n2	commodities	commodity	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
haue	haue	vhb	have	have	0
and	and	cc	and	and	0
dailie	dailie	av-j	daily	daily	0
doo	doo	vdi	do	do	0
grow	grow	vvi	grow	grow	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
church	church	n1	church	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ciuill	ciuill	j	civil	civil	0
gouernment	gouernment	n1	government	government	0
through	through	p-acp	through	through	0
out	out	av	out	out	0
all	all	d	all	all	0
nations	nations	n2	nations	nation	0
.	.	.	.	.	1
The	The	dt	The	the	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
began	began	vvd	began	begin	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
receiued	receiued	vvn	received	receive	0
euen	euen	av-j	even	even	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
first	first	ord	first	first	0
begin	begin	vvi	begin	begin	0
∣	∣	sy	∣	∣	0
ning	ning	n1	ning	ning	0
,	,	,	,	,	0
The	The	dt	The	the	0
first	first	ord	first	first	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
histories	histories	n2	histories	history	0
.	.	.	.	.	0
and	and	cc	and	and	0
immediatlie	immediatlie	av-j	immediately	immediate	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
dispersing	dispersing	vvg	dispersing	disperse	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sonnes	sonnes	n2	sons	son	0
of	of	pp-f	of	of	0
Adam	Adam	np1	Adam	Adam	0
through	through	p-acp	through	through	0
out	out	av	out	out	0
the	the	dt	the	the	0
world	world	n1	world	world	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
no	no	av-dx	no	no	0
sooner	sooner	av-c	sooner	soon	0
diuided	diuided	vvn	divided	divide	0
into	into	p-acp	into	into	0
seuerall	seuerall	j	several	several	0
nations	nations	n2	nations	nation	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
they	they	pns32	they	they	0
did	did	vdd	did	do	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
Cicero	Cicero	np1	Cicero	Cicero	0
saith	saith	vvz	says	say	0
)	)	)	)	)	0
make	make	vvb	make	make	0
choise	choise	n1	choice	choice	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
one	one	crd	one	one	0
man	man	n1	man	man	0
among	among	p-acp	among	among	0
themselues	themselues	px32	themselves	themselves	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
surpassed	surpassed	vvd	surpassed	surpass	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
in	in	p-acp	in	in	0
wisedome	wisedome	n1	wisdom	wisdom	0
,	,	,	,	,	0
know	know	vvi	know	know	0
∣	∣	sy	∣	∣	0
ledge	ledge	n1	ledge	ledge	0
and	and	cc	and	and	0
vnderstanding	vnderstanding	n1	understanding	understanding	0
,	,	,	,	,	0
Ad	Ad	fw-la	Ad	ad	0
quem	quem	fw-la	quem	quem	0
confugiebant	confugiebant	fw-la	confugiebant	confugiebant	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
kind	kind	n1	kind	kind	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
The	The	dt	The	the	0
first	first	ord	first	first	0
chro	chro	fw-la	chro	chro	0
∣	∣	sy	∣	∣	0
nographers	nographers	n2	nographers	nographer	0
