MASTER	MASTER	n1	MASTER	master	0
Francis	Francis	np1	Francis	Francis	0
Mason	Mason	np1	Mason	Mason	0
hauing	hauing	vhg	having	have	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
saith	saith	vvz	says	say	0
)	)	)	)	)	0
receiued	receiued	vvd	received	receive	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
direction	direction	n1	direction	direction	0
and	and	cc	and	and	0
encourage	encourage	vvi	encourage	encourage	0
∣	∣	sy	∣	∣	0
ment	ment	fw-la	ment	ment	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
making	making	vvg	making	make	0
his	his	po31	his	his	0
booke	booke	n1	book	book	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
consecra	consecra	fw-la	consecra	consecra	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Bishops	Bishops	n2	Bishops	bishop	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
therefore	therefore	av	therefore	therefore	0
present	present	vvi	present	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
it	it	pn31	it	it	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
due	due	j-jn	due	due	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
:	:	:	:	:	0
And	And	cc	And	and	0
it	it	pn31	it	it	0
seemeth	seemeth	vvz	seems	seem	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
bin	bin	vbn	been	be	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
content	content	n1	content	content	0
∣	∣	sy	∣	∣	0
ment	ment	fw-la	ment	ment	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
performing	performing	vvg	performing	perform	0
that	that	cst	that	that	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
preten	preten	av-j	preten	preten	0
∣	∣	sy	∣	∣	0
deth	deth	n1	death	death	0
therein	therein	av	therein	therein	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
heard	heard	vvn	herd	hear	0
)	)	)	)	)	0
you	you	pn22	you	you	0
conuented	conuented	vvn	convented	convent	0
diuers	diuers	j	diverse	diverse	0
Catholique	Catholique	jp	Catholic	catholique	0
Priests	Priests	n2	Priests	priest	0
(	(	(	(	(	0
whom	whom	r-crq	whom	who	0
you	you	pn22	you	you	0
wrongfully	wrongfully	av-j	wrongfully	wrongful	0
kept	kept	vvn	kept	keep	0
in	in	p-acp	in	in	0
prison	prison	n1	prison	prison	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
testifie	testifie	vvi	testify	testify	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
seene	seene	vvn	seen	see	0
such	such	d	such	such	0
regi	regi	fw-la	regi	regi	0
∣	∣	sy	∣	∣	0
sters	sters	n1	sters	sters	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
citeth	citeth	vvz	citeth	cit	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
iustifying	iustifying	vvg	justifying	justify	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
ordination	ordination	n1	ordination	ordination	0
;	;	;	;	;	0
esteeming	esteeming	vvg	esteeming	esteem	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
may	may	vmb	may	may	0
appeare	appeare	vvi	appear	appear	0
)	)	)	)	)	0
that	that	cst	that	that	0
nothing	nothing	pix	nothing	nothing	0
else	else	av	else	else	0
wanted	wanted	vvd	wanted	want	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
full	full	j	full	full	0
clearing	clearing	n-vvg	clearing	clear	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
matter	matter	n1	matter	matter	0
.	.	.	.	.	1
VVhich	VVhich	r-crq	Which	which	0
sole	sole	j	sole	sole	0
action	action	n1	actium	action	0
vvas	vvas	vbds	was	be	0
the	the	dt	the	the	0
first	first	ord	first	first	0
occasion	occasion	n1	occasion	occasion	0
,	,	,	,	,	0
that	that	cst	that	that	0
made	made	vvd	made	make	0
me	me	pno11	me	i	0
thinke	thinke	vvi	think	think	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
dis	dis	d	dis	this	0
∣	∣	sy	∣	∣	0
proofe	proofe	n1	proof	proof	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
perceiuing	perceiuing	vvg	perceiving	perceive	0
thereby	thereby	av	thereby	thereby	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
your	your	po22	your	your	0
assistents	assistents	n2	assistants	assistant	0
,	,	,	,	,	0
made	made	vvd	made	make	0
reckoning	reckoning	n-vvg	reckoning	reckon	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
full	full	j	full	full	0
iustification	iustification	n1	justification	justification	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
calling	calling	n-vvg	calling	call	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
labour	labour	n1	labour	labour	0
nei	nei	n1	nei	nei	0
∣	∣	sy	∣	∣	0
ther	ther	dt	there	the	0
idly	idly	av-j	idly	idle	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
ill	ill	n-jn	ill	ill	0
bestovved	bestovved	vvd	bestowed	bestow	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
you	you	pn22	you	you	0
see	see	vvb	see	see	0
,	,	,	,	,	0
(	(	(	(	(	0
sithence	sithence	c-acp	since	since	0
you	you	pn22	you	you	0
either	either	av-d	either	either	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
,	,	,	,	,	0
or	or	cc	or	or	0
vvould	vvould	vmd	would	will	0
not	not	xx	not	not	0
see	see	vvi	see	see	0
it	it	pn31	it	it	0
before	before	a-acp	before	before	0
)	)	)	)	)	0
how	how	q-crq	how	how	0
farre	farre	av-j	far	far	0
short	short	j	short	short	0
it	it	pn31	it	it	0
commeth	commeth	vvz	comes	come	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
marke	marke	n1	mark	mark	0
.	.	.	.	.	1
I	I	pns11	I	i	0
addresse	addresse	vvi	address	address	0
there	there	zz	there	there	0
∣	∣	sy	∣	∣	0
fore	fore	n1	before	fore	0
this	this	d	this	this	0
Treatise	Treatise	n1	Treatise	treatise	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
that	that	cst	that	that	0
compa	compa	n1	compa	compa	0
∣	∣	sy	∣	∣	0
ring	ring	n1	ring	ring	0
it	it	pn31	it	it	0
vvith	vvith	p-acp	with	with	0
M.	M.	n1	M.	m.	0
Masons	Masons	n2	Masons	mason	0
Apologetical	Apologetical	j	Apologetical	apologetical	0
Dialogue	Dialogue	n1	Dialogue	dialogue	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
iudge	iudge	vvi	judge	judge	0
vvhether	vvhether	cs	whether	whether	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
indeed	indeed	av	indeed	indeed	0
performed	performed	vvn	performed	perform	0
that	that	cst	that	that	0
,	,	,	,	,	0
vvhich	vvhich	r-crq	which	which	0
he	he	pns31	he	he	0
so	so	av	so	so	0
confidently	confidently	av-j	confidently	confident	0
affirmeth	affirmeth	vvz	affirmeth	affirm	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
first	first	ord	first	first	0
face	face	n1	face	face	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
booke	booke	n1	book	book	0
:	:	:	:	:	0
to	to	p-acp	to	to	0
vvit	vvit	n1	wit	wit	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
iustified	iustified	vvn	justified	justify	0
the	the	dt	the	the	0
consecration	consecration	n1	consecration	consecration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Bishops	Bishops	n2	Bishops	bishop	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
containe	containe	vvi	contain	contain	0
nothing	nothing	pix	nothing	nothing	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Scri	Scri	np1	Scri	Scri	0
∣	∣	sy	∣	∣	0
ptures	ptures	n2	ptures	pture	0
,	,	,	,	,	0
Councels	Councels	n2	Counsels	counsel	0
,	,	,	,	,	0
and	and	cc	and	and	0
Fathers	Fathers	n2	Father's	father	0
,	,	,	,	,	0
or	or	cc	or	or	0
approoued	approoued	j-vvn	approved	approve	0
example	example	n1	example	example	0
of	of	pp-f	of	of	0
Primi	Primi	np1	Primi	Primi	0
∣	∣	sy	∣	∣	0
tiue	tiue	n1	tiue	tiue	0
antiquitie	antiquitie	n1	antiquity	antiquity	0
.	.	.	.	.	1
You	You	pn22	You	you	0
may	may	vmb	may	may	0
peraduenture	peraduenture	av	peradventure	peradventure	0
maruell	maruell	vvi	marvel	marvel	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
put	put	vvi	put	put	0
the	the	dt	the	the	0
trial	trial	n1	trial	trial	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
matter	matter	n1	matter	matter	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
knovving	knovving	vvg	knowing	know	0
you	you	pn22	you	you	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
interested	interested	vvn	interested	interest	0
therein	therein	av	therein	therein	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
the	the	dt	the	the	0
reason	reason	n1	reason	reason	0
is	is	vbz	is	be	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
