MAnet	MAnet	np1	MAnet	MAnet	0
alta	alta	fw-la	alta	alta	0
mente	mente	fw-la	mente	mente	0
repo'stum	repo'stum	fw-la	repo'stum	repo'stum	0
,	,	,	,	,	0
The	The	dt	The	the	0
Poets	Poets	ng1	Poets	poet	0
speech	speech	n1	speech	speech	0
,	,	,	,	,	0
expressing	expressing	vvg	expressing	express	0
the	the	dt	the	the	0
effect	effect	n1	effect	effect	0
of	of	pp-f	of	of	0
displea	displea	n1	displea	displea	0
∣	∣	sy	∣	∣	0
sure	sure	j	sure	sure	0
.	.	.	.	.	1
So	So	av	So	so	0
hardly	hardly	av	hardly	hardly	0
are	are	vbr	are	be	0
we	we	pns12	we	we	0
giuen	giuen	vvn	given	give	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
nature	nature	n1	nature	nature	0
to	to	pc-acp	to	to	0
forget	forget	vvi	forget	forget	0
iniuries	iniuries	n2	injuries	injury	0
and	and	cc	and	and	0
displea	displea	fw-la	displea	displea	0
∣	∣	sy	∣	∣	0
sures	sures	vvz	sures	sure	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
let	let	vvi	let	let	0
passe	passe	vvi	pass	pass	0
discurtesies	discurtesies	n2	discourtesies	discourtesy	0
offered	offered	vvn	offered	offer	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
wise	wise	j	wise	wise	0
man	man	n1	man	man	0
saith	saith	vvz	says	say	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
mans	mans	ng1	men	man	0
ho	ho	zz	ho	ho	0
∣	∣	sy	∣	∣	0
nour	nour	vvb	nou_r_	nou_r_	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
by	by	p-acp	by	by	0
an	an	dt	and	a	0
offence	offence	n1	offence	offence	0
;	;	;	;	;	0
so	so	av	so	so	0
noble	noble	j	noble	noble	0
dis	dis	fw-ge	dis	dis	0
∣	∣	sy	∣	∣	0
positions	positions	n2	positions	position	0
,	,	,	,	,	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
so	so	av	so	so	0
much	much	av-d	much	much	0
regard	regard	vvi	regard	regard	0
the	the	dt	the	the	0
iniu	iniu	fw-la	iniu	iniu	0
∣	∣	sy	∣	∣	0
rie	rie	n1	rye	rye	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
inferiours	inferiours	n2-jn	inferiors	inferior	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
what	what	q-crq	what	what	0
may	may	vmb	may	may	0
best	best	av-js	best	best	0
fit	fit	vvi	fit	fit	0
and	and	cc	and	and	0
beseeme	beseeme	vvi	beseem	beseem	0
their	their	po32	their	their	0
estate	estate	n1	estate	estate	0
.	.	.	.	.	1
I	I	pns11	I	i	0
must	must	vmb	must	must	0
needs	needs	av	needs	needs	0
confesse	confesse	vvi	confess	confess	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
)	)	)	)	)	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
greatly	greatly	av-j	greatly	great	0
offended	offended	vvn	offended	offend	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
absence	absence	n1	absence	absence	0
&	&	cc	&	and	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
thank	thank	n1	thank	thank	0
∣	∣	sy	∣	∣	0
fulnesse	fulnesse	n1	fullness	fullness	0
towards	towards	p-acp	towards	towards	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
so	so	av	so	so	0
great	great	j	great	great	0
benefits	benefits	n2	benefits	benefit	0
receiued	receiued	vvn	received	receive	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
found	found	vvd	found	find	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
many	many	d	many	many	0
waies	waies	n2	ways	way	0
vnworthie	vnworthie	j	unworthy	unworthy	0
and	and	cc	and	and	0
vnable	vnable	j-u	unable	able	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
