SVpposing	SVpposing	vvg	Supposing	suppose	0
that	that	cst	that	that	0
all	all	d	all	all	0
such	such	d	such	such	0
papists	papists	n2	papists	papist	0
as	as	c-acp	as	as	0
do	do	vdb	do	do	0
refuse	refuse	vvi	refuse	refuse	0
to	to	pc-acp	to	to	0
ioyne	ioyne	vvi	join	join	0
with	with	p-acp	with	with	0
vs	vs	pno12	us	we	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
fession	fession	n1	fession	fession	0
and	and	cc	and	and	0
exercise	exercise	n1	exercise	exercise	0
of	of	pp-f	of	of	0
religion	religion	n1	religion	religion	0
(	(	(	(	(	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
therefore	therefore	av	therefore	therefore	0
called	called	vvn	called	call	0
Recu	Recu	n1	Recu	recu	0
∣	∣	sy	∣	∣	0
sants	sants	n2	sants	sant	0
)	)	)	)	)	0
be	be	vbb	be	be	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
&	&	cc	&	and	0
the	the	dt	the	the	0
same	same	d	same	same	0
minde	minde	n1	mind	mind	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
popish	popish	j	popish	popish	0
Offerer	Offerer	n1	Offerer	offerer	0
,	,	,	,	,	0
that	that	cst	that	that	0
first	first	ord	first	first	0
wrote	wrote	vvd	wrote	write	0
these	these	d	these	these	0
Offers	Offers	vvz	Offers	offer	0
,	,	,	,	,	0
and	and	cc	and	and	0
did	did	vdd	did	do	0
publish	publish	vvi	publish	publish	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
print	print	n1	print	print	0
:	:	:	:	:	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
thought	thought	vvn	thought	think	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
very	very	av	very	very	0
meete	meete	vvi	meet	meet	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
request	request	vvi	request	request	0
the	the	dt	the	the	0
same	same	d	same	same	0
Offerer	Offerer	n1	Offerer	offerer	0
(	(	(	(	(	0
if	if	cs	if	if	0
hee	hee	pns31	he	he	0
bee	bee	vbb	be	be	0
yet	yet	av	yet	yet	0
liuing	liuing	j-vvg	living	live	0
)	)	)	)	)	0
and	and	cc	and	and	0
all	all	d	all	all	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
that	that	cst	that	that	0
bee	bee	vbb	be	be	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
minde	minde	n1	mind	mind	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
afforde	afforde	vvi	afford	afford	0
mee	mee	pno11	me	i	0
so	so	av	so	so	0
much	much	d	much	much	0
fauour	fauour	n1	favour	favour	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
reade	reade	vvi	read	read	0
ouer	ouer	p-acp	over	over	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
Offers	Offers	vvz	Offers	offer	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	d	that	that	0
answere	answere	n1	answer	answer	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
made	made	vvn	made	make	0
therunto	therunto	av	thereunto	thereunto	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
deny	deny	vvi	deny	deny	0
mee	mee	pno11	me	i	0
this	this	d	this	this	0
request	request	n1	request	request	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
your	your	po22	your	your	0
Offerer	Offerer	n1	Offerer	offerer	0
hath	hath	vhz	hath	have	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
euery	euery	d	every	every	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Offer	Offer	n1	Offer	offer	0
,	,	,	,	,	0
vsed	vsed	vvd	used	use	0
these	these	d	these	these	0
words	words	n2	words	word	0
(	(	(	(	(	0
or	or	cc	or	or	0
the	the	dt	the	the	0
like	like	j	like	like	0
)	)	)	)	)	0
prooue	prooue	vvb	prove	prove	0
this	this	d	this	this	0
,	,	,	,	,	0
&	&	cc	&	and	0
then	then	av	then	then	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
relent	relent	vvi	relent	relent	0
and	and	cc	and	and	0
recant	recant	vvi	recant	recant	0
,	,	,	,	,	0
&	&	cc	&	and	0
not	not	xx	not	not	0
before	before	c-acp	before	before	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
that	that	cst	that	that	0
ther	ther	pc-acp	there	there	0
be	be	vbi	be	be	0
many	many	d	many	many	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
worshipfull	worshipfull	j	worshipful	worshipful	0
,	,	,	,	,	0
wise	wise	j	wise	wise	0
,	,	,	,	,	0
and	and	cc	and	and	0
learned	learned	j	learned	learned	0
:	:	:	:	:	0
such	such	d	such	such	0
(	(	(	(	(	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
)	)	)	)	)	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
blemish	blemish	vvi	blemish	blemish	0
their	their	po32	their	their	0
worship	worship	n1	worship	worship	0
,	,	,	,	,	0
wisedome	wisedome	n1	wisdom	wisdom	0
,	,	,	,	,	0
and	and	cc	and	and	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
fore-iudging	fore-iudging	j	forejudging	fore-iudging	0
ought	ought	pi	ought	aught	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
or	or	cc	or	or	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
answere	answere	n1	answer	answer	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
Offer	Offer	n1	Offer	offer	0
that	that	cst	that	that	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
minde	minde	n1	mind	mind	0
hath	hath	vhz	hath	have	0
or	or	cc	or	or	0
shall	shall	vmb	shall	shall	0
make	make	vvi	make	make	0
,	,	,	,	,	0
and	and	cc	and	and	0
require	require	vvi	require	require	0
answere	answere	n1	answer	answer	0
thereunto	thereunto	av	thereunto	thereunto	0
.	.	.	.	.	1
I	I	pns11	I	i	0
doo	doo	vdb	do	do	0
not	not	xx	not	not	0
require	require	vvi	require	require	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
credit	credit	n1	credit	credit	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
written	written	vvn	written	write	0
:	:	:	:	:	0
before	before	c-acp	before	before	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
tried	tried	vvn	tried	try	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
and	and	cc	and	and	0
found	found	vvd	found	find	0
it	it	pn31	it	it	0
worthy	worthy	j	worthy	worthy	0
of	of	pp-f	of	of	0
credit	credit	n1	credit	credit	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
set	set	vvn	set	set	0
ouer	ouer	p-acp	over	over	0
the	the	dt	the	the	0
heads	heads	n2	heads	head	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
pages	pages	n2	pages	page	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
my	my	po11	my	my	0
booke	booke	n1	book	book	0
:	:	:	:	:	0
this	this	d	this	this	0
admonition	admonition	n1	admonition	admonition	0
:	:	:	:	:	0
First	First	ord	First	first	0
trie	trie	vvi	try	try	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
trust	trust	vvb	trust	trust	0
:	:	:	:	:	0
If	If	cs	If	if	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
finde	finde	vvi	find	find	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
prooued	prooued	vvn	proved	prove	0
all	all	d	all	all	0
those	those	d	those	those	0
thinges	thinges	n2	things	thing	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Offerer	Offerer	n1	Offerer	offerer	0
requireth	requireth	vvz	requires	require	0
the	the	dt	the	the	0
protestant	protestant	n1	protestant	protestant	0
to	to	pc-acp	to	to	0
prooue	prooue	vvi	prove	prove	0
:	:	:	:	:	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
you	you	pn22	you	you	0
wil	wil	vmb	will	will	0
redily	redily	av-j	readily	ready	0
performe	performe	vvi	perform	perform	0
,	,	,	,	,	0
those	those	d	those	those	0
Offers	Offers	vvz	Offers	offer	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
finde	finde	vvi	find	find	0
any	any	d	any	any	0
insufficiency	insufficiency	n1	insufficiency	insufficiency	0
in	in	p-acp	in	in	0
mine	mine	po11	mine	my	0
answeres	answeres	n2	answers	answer	0
:	:	:	:	:	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
,	,	,	,	,	0
that	that	cst	that	that	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
learned	learned	j	learned	learned	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
side	side	n1	side	side	0
,	,	,	,	,	0
will	will	vmb	will	will	0
vse	vse	vvi	use	use	0
some	some	d	some	some	0
meanes	meanes	n2	means	mean	0
whereby	whereby	c-crq	whereby	whereby	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
haue	haue	vhi	have	have	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
insufficiency	insufficiency	n1	insufficiency	insufficiency	0
.	.	.	.	.	1
And	And	cc	And	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
word	word	n1	word	word	0
&	&	cc	&	and	0
faith	faith	n1	faith	faith	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Christian	Christian	njp	Christian	christian	0
,	,	,	,	,	0
I	I	pns11	I	i	0
doo	doo	vdb	do	do	0
promise	promise	vvi	promise	promise	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
what	what	r-crq	what	what	0
soeuer	soeuer	av	soever	soever	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
shal	shal	vmb	shall	shall	0
write	write	vvi	write	write	0
touching	touching	vvg	touching	touch	0
this	this	d	this	this	0
matter	matter	n1	matter	matter	0
:	:	:	:	:	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
reade	reade	vvi	read	read	0
it	it	pn31	it	it	0
deliberatly	deliberatly	av-j	deliberately	deliberate	0
,	,	,	,	,	0
and	and	cc	and	and	0
without	without	p-acp	without	without	0
all	all	d	all	all	0
parciall	parciall	j	partial	partial	0
affection	affection	n1	affection	affection	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
earnest	earnest	j	earnest	earnest	0
prayer	prayer	n1	prayer	prayer	0
to	to	p-acp	to	to	0
