Grace	Grace	n1	Grace	grace	0
and	and	cc	and	and	0
Peace	Peace	n1	Peace	peace	0
.	.	.	.	.	1
SENECA	SENECA	np1	SENECA	Seneca	0
the	the	dt	the	the	0
Philosopher	Philosopher	n1	Philosopher	philosopher	0
reporteth	reporteth	vvz	reporteth	report	0
(	(	(	(	(	0
gen	gen	fw-la	gen	gen	0
∣	∣	sy	∣	∣	0
tle	tle	n1	tle	tle	0
Reader	Reader	n1	Reader	reader	0
)	)	)	)	)	0
that	that	cst	that	that	0
the	the	dt	the	the	0
looking	looking	j-vvg	looking	look	0
glasse	glasse	n1	glass	glass	0
was	was	vbds	was	be	0
first	first	ord	first	first	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
uented	uented	vvd	vented	vent	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
end	end	n1	end	end	0
,	,	,	,	,	0
that	that	cst	that	that	0
man	man	n1	man	man	0
might	might	vmd	might	may	0
vse	vse	vvi	use	use	0
it	it	pn31	it	it	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
meane	meane	j	mean	mean	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
himself	himself	px31	himself	himself	0
the	the	dt	the	the	0
better	better	jc	better	better	0
by	by	p-acp	by	by	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
sides	sides	n2	sides	side	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
glasse	glasse	n1	glass	glass	0
wee	wee	pns12	we	we	0
may	may	vmb	may	may	0
attaine	attaine	vvi	attain	attain	0
to	to	p-acp	to	to	0
some	some	d	some	some	0
kinde	kinde	n1	kind	kind	0
of	of	pp-f	of	of	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
when	when	c-crq	when	when	0
wee	wee	pns12	we	we	0
take	take	vvb	take	take	0
a	a	dt	a	a	0
viewe	viewe	n1	view	view	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
owne	owne	d	own	own	0
countenance	countenance	n1	countenance	countenance	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
li	li	n1	li	livre	0
∣	∣	sy	∣	∣	0
neaments	neaments	n2	neaments	neament	0
&	&	cc	&	and	0
proportion	proportion	n1	proportion	proportion	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
bodies	bodies	n2	bodies	body	0
outward	outward	j	outward	outward	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
,	,	,	,	,	0
Socrates	Socrates	np1	Socrates	Socrates	0
applied	applied	vvd	applied	apply	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
further	further	jc	further	further	0
vse	vse	n1	use	use	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
instruction	instruction	n1	instruction	instruction	0
of	of	pp-f	of	of	0
manners	manners	n2	manners	manner	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
as	as	c-acp	as	as	0
Apuleius	Apuleius	np1	Apuleius	Apuleius	0
writeth	writeth	vvz	writeth	write	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
he	he	pns31	he	he	0
earnest	earnest	j	earnest	earnest	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
perswaded	perswaded	vvn	persuaded	persuade	0
his	his	po31	his	his	0
Auditors	Auditors	n2	Auditors	auditor	0
to	to	pc-acp	to	to	0
looke	looke	vvi	look	look	0
often	often	av	often	often	0
into	into	p-acp	into	into	0
a	a	dt	a	a	0
glasse	glasse	n1	glass	glass	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
beholde	beholde	vvi	behold	behold	0
them	them	pno32	them	they	0
∣	∣	sy	∣	∣	0
selues	selues	n2	selves	self	0
therein	therein	av	therein	therein	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
intent	intent	n1	intent	intent	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
which	which	r-crq	which	which	0
thought	thought	vvd	thought	think	0
himselfe	himselfe	px31	himself	himself	0
beautifull	beautifull	j	beautiful	beautiful	0
and	and	cc	and	and	0
faire	faire	j	fair	fair	0
,	,	,	,	,	0
might	might	vmd	might	may	0
take	take	vvi	take	take	0
occasion	occasion	n1	occasion	occasion	0
thereby	thereby	av	thereby	thereby	0
to	to	pc-acp	to	to	0
auoyde	auoyde	vvi	avoid	avoid	0
all	all	d	all	all	0
kinde	kinde	n1	kind	kind	0
of	of	pp-f	of	of	0
