HOw	HOw	q-crq	HOw	how	0
tenacious	tenacious	j	tenacious	tenacious	0
the	the	dt	the	the	0
heart	heart	n1	heart	heart	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
su	su	n1	sum	sum	0
∣	∣	sy	∣	∣	0
perstition	perstition	n1	perstition	perstition	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
former	former	j	former	former	0
ages	ages	n2	ages	age	0
,	,	,	,	,	0
so	so	av	so	so	0
the	the	dt	the	the	0
present	present	j	present	present	0
generation	generation	n1	generation	generation	0
doe	doe	vdb	do	do	0
abundantly	abundantly	av-j	abundantly	abundant	0
declare	declare	vvi	declare	declare	0
.	.	.	.	.	1
No	No	dx	No	no	0
age	age	n1	age	age	0
can	can	vmb	can	can	0
yeeld	yeeld	vvi	yield	yield	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
horrid	horrid	j	horrid	horrid	0
instance	instance	n1	instance	instance	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
people	people	n1	people	people	0
taught	taught	vvd	taught	teach	0
so	so	av	so	so	0
much	much	av-d	much	much	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
Nation	Nation	n1	Nation	nation	0
hath	hath	vhz	hath	have	0
beene	beene	vbn	been	be	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
true	true	j	true	true	0
Worship	Worship	n1	Worship	worship	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
admonished	admonished	vvn	admonished	admonish	0
so	so	av	so	so	0
often	often	av	often	often	0
▪	▪	▪	▪	▪	0
that	that	cst	that	that	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
pleased	pleased	vvn	pleased	please	0
by	by	p-acp	by	by	0
hu	hu	uh	hu	hu	0
∣	∣	sy	∣	∣	0
mane	mane	n1	mane	mane	0
rites	rites	n2	rites	rite	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
still	still	av	still	still	0
place	place	vvi	place	place	0
their	their	po32	their	their	0
Religion	Religion	n1	Religion	religion	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
,	,	,	,	,	0
oppugne	oppugne	vvi	oppugn	oppugn	0
the	the	dt	the	the	0
representative	representative	n1	representative	representative	0
Body	Body	n1	Body	body	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Commonwealth	Commonwealth	n1	Commonwealth	commonwealth	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
seeking	seeking	vvg	seeking	seek	0
to	to	pc-acp	to	to	0
remove	remove	vvi	remove	remove	0
them	them	pno32	them	they	0
,	,	,	,	,	0
fight	fight	vvb	fight	fight	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
tanquam	tanquam	fw-la	tanquam	tanquam	0
pro	pro	fw-la	pro	pro	0
aris	aris	fw-la	aris	aris	0
&	&	cc	&	and	0
focis	focis	fw-la	focis	focis	0
,	,	,	,	,	0
spoyle	spoyle	vvi	spoil	spoil	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
Countrey	Countrey	n1	Country	country	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
cruell	cruell	j	cruel	cruel	0
despight	despight	n1	despite	despite	0
drive	drive	vvi	drive	drive	0
away	away	av	away	away	0
their	their	po32	their	their	0
faithfull	faithfull	j	faithful	faithful	0
teachers	teachers	n2	teachers	teacher	0
,	,	,	,	,	0
and	and	cc	and	and	0
unspotted	unspotted	j	unspotted	unspotted	0
neighbours	neighbours	n2	neighbours	neighbour	0
from	from	p-acp	from	from	0
their	their	po32	their	their	0
dwellings	dwellings	n2	dwellings	dwelling	0
,	,	,	,	,	0
wives	wives	n2	wives	wife	0
and	and	cc	and	and	0
children	children	n2	children	child	0
,	,	,	,	,	0
and	and	cc	and	and	0
thinke	thinke	vvb	think	think	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
good	good	j	good	good	0
worke	worke	n1	work	work	0
to	to	pc-acp	to	to	0
destroy	destroy	vvi	destroy	destroy	0
them	them	pno32	them	they	0
for	for	p-acp	for	for	0
not	not	xx	not	not	0
