SIR	SIR	n1	SIR	sir	0
,	,	,	,	,	0
IF	IF	cs	IF	if	0
these	these	d	these	these	0
papers	papers	n2	papers	paper	0
liue	liue	vvi	live	live	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
because	because	c-acp	because	because	0
they	they	pns32	they	they	0
deuote	deuote	vvb	devote	devote	0
themselues	themselues	px32	themselves	themselves	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
whom	whom	ro-crq	whom	who	0
alone	alone	av-j	alone	alone	0
they	they	pns32	they	they	0
gratulate	gratulate	vvb	gratulate	gratulate	0
the	the	dt	the	the	0
happinesse	happinesse	n1	happiness	happiness	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Family	Family	n1	Family	family	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
ennobled	ennobled	vvn	ennobled	ennoble	0
by	by	p-acp	by	by	0
soe	soe	av	so	so	0
safe	safe	j	safe	safe	0
and	and	cc	and	and	0
so	so	av	so	so	0
pure	pure	j	pure	pure	0
a	a	dt	a	a	0
Vertue	Vertue	n1	Virtue	virtue	0
,	,	,	,	,	0
that	that	cst	that	that	0
as	as	c-acp	as	as	0
no	no	dx	no	no	0
Enuy	Enuy	n1	Envy	envy	0
dares	dares	zz	dares	dares	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
approach	approach	n1	approach	approach	0
it	it	pn31	it	it	0
,	,	,	,	,	0
so	so	av	so	so	0
no	no	dx	no	no	0
Flattery	Flattery	n1	Flattery	flattery	0
can	can	vmb	can	can	0
corrupt	corrupt	vvi	corrupt	corrupt	0
it	it	pn31	it	it	0
,	,	,	,	,	0
a	a	dt	a	a	0
Fa	Fa	uh	Fa	fa	0
∣	∣	sy	∣	∣	0
mily	mily	n1	mily	mily	0
which	which	q-crq	which	which	0
hath	hath	vhz	hath	have	0
enioyed	enioyed	vvn	enjoyed	enjoy	0
the	the	dt	the	the	0
fauour	fauour	n1	favour	favour	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Soueraignes	Soueraignes	n2-jn	Sovereigns	sovereign	0
by	by	p-acp	by	by	0
descent	descent	n1	descent	descent	0
,	,	,	,	,	0
and	and	cc	and	and	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
ued	ued	zz	ued	ued	0
your	your	po22	your	your	0
Vertues	Vertues	n2	Virtues	virtue	0
as	as	p-acp	as	as	0
hereditary	hereditary	j	hereditary	hereditary	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
honours	honours	n2	honours	honour	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
did	did	vdd	did	do	0
appeare	appeare	vvi	appear	appear	0
to	to	p-acp	to	to	0
cheape	cheape	j	cheap	cheap	0
a	a	dt	a	a	0
