Worthie	Worthie	j	Worthy	worthy	0
Ladies	Ladies	n2	Ladies	lady	0
,	,	,	,	,	0
LAmentable	LAmentable	j	LAmentable	lamentable	0
are	are	vbr	are	be	0
he	he	pns31	he	he	0
ruines	ruines	vvz	ruins	ruin	0
,	,	,	,	,	0
into	into	p-acp	into	into	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
na	na	fw-la	na	na	0
∣	∣	sy	∣	∣	0
tures	tures	n1	tures	tures	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
are	are	vbr	are	be	0
generally	generally	av-j	generally	general	0
fallen	fallen	vvn	fallen	fall	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
sinnes	sinnes	n2	sins	sin	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
appeares	appeares	vvz	appears	appear	0
especially	especially	av-j	especially	especial	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
waies	waies	n2	ways	way	0
men	men	n2	men	man	0
take	take	vvb	take	take	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
bu	bu	zz	bu	bu	0
∣	∣	sy	∣	∣	0
sinesse	sinesse	n1	sinesse	sinesse	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
soule	soule	n1	soul	soul	0
.	.	.	.	.	1
The	The	dt	The	the	0
most	most	av-ds	most	most	0
men	men	n2	men	man	0
are	are	vbr	are	be	0
cleane	cleane	j	clean	clean	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
way	way	n1	way	way	0
to	to	p-acp	to	to	0
heauen	heauen	n1	heaven	heaven	0
,	,	,	,	,	0
and	and	cc	and	and	0
walke	walke	vvi	walk	walk	0
in	in	p-acp	in	in	0
by	by	p-acp	by	by	0
wayes	wayes	n2	ways	way	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
cal	cal	vvi	call	call	0
∣	∣	sy	∣	∣	0
led	led	vvd	led	lead	0
in	in	p-acp	in	in	0
Scripture	Scripture	n1	Scripture	scripture	0
,	,	,	,	,	0
The	The	dt	The	the	0
waies	waies	n2	ways	way	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
wicked	wicked	j	wicked	wicked	0
;	;	;	;	;	0
The	The	dt	The	the	0
waies	waies	n2	ways	way	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
hearts	hearts	n2	hearts	heart	0
;	;	;	;	;	0
Peruerse	Peruerse	j	Perverse	perverse	0
waies	waies	n2	ways	way	0
;	;	;	;	;	0
Darke	Darke	j	Dark	dark	0
and	and	cc	and	and	0
slipperie	slipperie	j	slippery	slippery	0
wayes	wayes	n2	ways	way	0
;	;	;	;	;	0
The	The	dt	The	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
iniquity	iniquity	n1	iniquity	iniquity	0
.	.	.	.	.	1
All	All	av-d	All	all	0
mee	mee	pns11	me	i	0
∣	∣	sy	∣	∣	0
ting	ting	n1	ting	thing	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
broad	broad	j	broad	broad	0
way	way	n1	way	way	0
that	that	cst	that	that	0
leadeth	leadeth	vvz	leads	lead	0
to	to	p-acp	to	to	0
destruction	destruction	n1	destruction	destruction	0
,	,	,	,	,	0
being	being	vbg	being	be	0
wholly	wholly	av-jn	wholly	whole	0
ignorant	ignorant	j	ignorant	ignorant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
and	and	cc	and	and	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
the	the	dt	the	the	0
most	most	ds	most	most	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
speake	speake	vvi	speak	speak	0
euill	euill	j-jn	evil	evil	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
good	good	j	good	good	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
persecute	persecute	vvi	persecute	persecute	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Some	Some	d	Some	some	0
there	there	a-acp	there	there	0
are	are	vbr	are	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
enlightned	enlightned	vvn	enlightened	enlighten	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
like	like	vvi	like	like	0
the	the	dt	the	the	0
common	common	j	common	common	0
roade	roade	n1	road	road	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
multitude	multitude	n1	multitude	multitude	0
;	;	;	;	;	0
and	and	cc	and	and	0
after	after	p-acp	after	after	0
some	some	d	some	some	0
enquirie	enquirie	n1	enquiry	enquiry	0
haue	haue	vhb	have	have	0
found	found	vvn	found	find	0
them	them	pno32	them	they	0
out	out	av	out	out	0
wayes	wayes	n2	ways	way	0
that	that	cst	that	that	0
seeme	seeme	vvb	seem	seem	0
good	good	j	good	good	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
eyes	eyes	n2	eyes	eye	0
;	;	;	;	;	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
wonderfully	wonderfully	av-j	wonderfully	wonderful	0
well	well	av	well	well	0
pleased	pleased	vvn	pleased	please	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
course	course	n1	course	course	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
issues	issues	n2	issues	issue	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
wayes	wayes	n2	ways	way	0
are	are	vbr	are	be	0
death	death	n1	death	death	0
too	too	av	too	too	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
former	former	j	former	former	0
.	.	.	.	.	1
And	And	cc	And	and	0
the	the	dt	the	the	0
more	more	dc	more	more	0
is	is	vbz	is	be	0
this	this	d	this	this	0
danger	danger	n1	danger	danger	0
increased	increased	vvd	increased	increase	0
vpon	vpon	p-acp	upon	upon	0
men	men	n2	men	man	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
is	is	vbz	is	be	0
but	but	p-acp	but	but	0
one	one	crd	one	one	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
narrow	narrow	j	narrow	narrow	0
way	way	n1	way	way	0
,	,	,	,	,	0
and	and	cc	and	and	0
hard	hard	av-j	hard	hard	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
,	,	,	,	,	0
and	and	cc	and	and	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
sought	sought	vvn	sought	seek	0
by	by	p-acp	by	by	0
many	many	d	many	many	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
not	not	xx	not	not	0
found	found	vvn	found	find	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
this	this	d	this	this	0
hope	hope	n1	hope	hope	0
is	is	vbz	is	be	0
left	left	vvn	left	leave	0
vnto	vnto	p-acp	unto	unto	0
forlorn	forlorn	j-vvn	forlorn	forlese	0
men	men	n2	men	man	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
way	way	n1	way	way	0
to	to	p-acp	to	to	0
heauen	heauen	n1	heaven	heaven	0
and	and	cc	and	and	0
hap	hap	n1	hap	hap	0
∣	∣	sy	∣	∣	0
pines	pines	vvz	pines	pine	0
:	:	:	:	:	0
A	A	dt	A	a	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
righteousnesse	righteousnesse	n1	righteousness	righteousness	0
and	and	cc	and	and	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
a	a	dt	a	a	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
mercy	mercy	n1	mercy	mercy	0
and	and	cc	and	and	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
a	a	dt	a	a	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
wisedome	wisedome	n1	wisdom	wisdom	0
:	:	:	:	:	0
A	A	dt	A	a	0
way	way	n1	way	way	0
that	that	cst	that	that	0
men	men	n2	men	man	0
may	may	vmb	may	may	0
securely	securely	av-j	securely	secure	0
and	and	cc	and	and	0
safely	safely	av-j	safely	safe	0
walke	walke	vvi	walk	walk	0
in	in	p-acp	in	in	0
;	;	;	;	;	0
a	a	dt	a	a	0
way	way	n1	way	way	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
Christ	Christ	np1	Christ	Christ	0
will	will	vmb	will	will	0
guide	guide	vvi	guide	guide	0
thē	thē	pno32	them	they	0
,	,	,	,	,	0
God	God	np1	God	God	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
will	will	vmb	will	will	0
