DEre	DEre	j-jn	Dear	dear	0
Arnold	Arnold	np1	Arnold	Arnold	0
,	,	,	,	,	0
whereas	whereas	cs	whereas	whereas	0
mans	mans	ng1	men	man	0
intellect	intellect	n1	intellect	intellect	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
beginning	beginning	n1	beginning	beginning	0
is	is	vbz	is	be	0
naked	naked	j	naked	naked	0
and	and	cc	and	and	0
without	without	p-acp	without	without	0
forme	forme	n1	form	form	0
,	,	,	,	,	0
and	and	cc	and	and	0
hath	hath	vhz	hath	have	0
nothing	nothing	pix	nothing	nothing	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
a	a	dt	a	a	0
possibility	possibility	n1	possibility	possibility	0
to	to	pc-acp	to	to	0
receiue	receiue	vvi	receive	receive	0
formes	formes	n2	forms	form	0
,	,	,	,	,	0
many	many	d	many	many	0
haue	haue	vhb	have	have	0
doubted	doubted	vvn	doubted	doubt	0
why	why	c-crq	why	why	0
the	the	dt	the	the	0
high	high	j	high	high	0
Creatour	Creatour	n1	Creator	creator	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
giue	giue	vvi	give	give	0
knowledge	knowledge	n1	knowledge	knowledge	0
naturally	naturally	av-j	naturally	natural	0
to	to	p-acp	to	to	0
man	man	n1	man	man	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
other	other	j-jn	other	other	0
sensible	sensible	j	sensible	sensible	0
creatures	creatures	n2	creatures	creature	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
some	some	d	some	some	0
haue	haue	vhb	have	have	0
naturally	naturally	av-j	naturally	natural	0
the	the	dt	the	the	0
art	art	n1	art	art	0
of	of	pp-f	of	of	0
spinning	spinning	vvg	spinning	spin	0
;	;	;	;	;	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
making	making	vvg	making	make	0
hony	hony	n1	honey	honey	0
;	;	;	;	;	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
weauing	weauing	vvg	weaving	weave	0
;	;	;	;	;	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
doing	doing	vdg	doing	do	0
other	other	n-jn	other	other	0
things	things	n2	things	thing	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
man	man	n1	man	man	0
is	is	vbz	is	be	0
borne	borne	vvn	born	bear	0
