REuerend	REuerend	n-jn	REuerend	reuerend	0
,	,	,	,	,	0
and	and	cc	and	and	0
Belo	Belo	np1	Belo	Belo	0
∣	∣	sy	∣	∣	0
ued	ued	zz	ued	ued	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Lorde	Lorde	n1	Lord	lord	0
Iesus	Iesus	np1	Iesus	Jesus	0
,	,	,	,	,	0
It	It	pn31	It	it	0
hauing	hauing	vhg	having	have	0
pleased	pleased	vvn	pleased	please	0
the	the	dt	the	the	0
Almigh	Almigh	n1	Almigh	almigh	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
to	to	p-acp	to	to	0
vouchsafe	vouchsafe	vvi	vouchsafe	vouchsafe	0
mee	mee	pno11	me	i	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
a	a	dt	a	a	0
member	member	n1	member	member	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
his	his	po31	his	his	0
chur	chur	n1	chur	chur	0
∣	∣	sy	∣	∣	0
ches	ches	n1	ches	ches	0
:	:	:	:	:	0
both	both	d	both	both	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
generall	generall	j	general	general	0
bond	bond	n1	bound	bond	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
ingraffing	ingraffing	n-vvg	engraffing	engraff	0
ther	ther	a-acp	there	there	0
∣	∣	sy	∣	∣	0
to	to	av	too	too	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
speciall	speciall	j	special	special	0
calling	calling	n-vvg	calling	call	0
to	to	p-acp	to	to	0
engraft	engraft	j-vvn	engrafted	engraft	0
others	others	n2-jn	others	other	0
therein	therein	av	therein	therein	0
:	:	:	:	:	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
therefore	therefore	av	therefore	therefore	0
endeauoured	endeauoured	vvn	endeavoured	endeavour	0
since	since	p-acp	since	since	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
hath	hath	vhz	hath	have	0
vouchsafed	vouchsafed	vvn	vouchsafed	vouchsafe	0
light	light	n1	light	light	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
to	to	av	too	too	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
improue	improue	vvb	improve	improve	0
my	my	po11	my	my	0
best	best	js	best	best	0
meanes	meanes	n2	means	mean	0
and	and	cc	and	and	0
occasions	occasions	n2	occasions	occasion	0
,	,	,	,	,	0
thogh	thogh	cs	though	though	0
in	in	p-acp	in	in	0
great	great	j	great	great	0
weakenes	weakenes	n1	weakness	weakness	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
supply	supply	n1	supply	supply	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
necessarie	necessarie	j	necessary	necessary	0
.	.	.	.	.	1
And	And	np1	And	And	0
ther	ther	zz	ther	ther	0
∣	∣	sy	∣	∣	0
fore	fore	p-acp	before	before	0
finding	finding	vvg	finding	find	0
our	our	po12	our	our	0
Times	Times	n2	Times	time	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
ranke	ranke	n1	rank	rank	0
,	,	,	,	,	0
&	&	cc	&	and	0
so	so	av	so	so	0
indeed	indeed	av	indeed	indeed	0
rankle	rankle	vvi	rankle	rankle	0
with	with	p-acp	with	with	0
vnnecessarie	vnnecessarie	j	unnecessary	unnecessary	0
conten	conten	j	conten	conten	0
∣	∣	sy	∣	∣	0
tions	tions	n2	tions	tion	0
;	;	;	;	;	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
too	too	av	too	too	0
much	much	av-d	much	much	0
barren	barren	j	barren	barren	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
fruite	fruite	n1	fruit	fruit	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
necessarie	necessarie	j	necessary	necessary	0
:	:	:	:	:	0
namely	namely	av	namely	namely	0
,	,	,	,	,	0
the	the	dt	the	the	0
powerfull	powerfull	j	powerful	powerful	0
prac	prac	n1	prac	prac	0
∣	∣	sy	∣	∣	0
tise	tise	n1	tise	tise	0
of	of	pp-f	of	of	0
godlinesse	godlinesse	n1	godliness	godliness	0
.	.	.	.	.	1
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
laboured	laboured	vvn	laboured	labour	0
by	by	p-acp	by	by	0
Gods	Gods	npg1	Gods	God	0
mercy	mercy	n1	mercy	mercy	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
occasion	occasion	n1	occasion	occasion	0
and	and	cc	and	and	0
ability	ability	n1	ability	ability	0
hath	hath	vhz	hath	have	0
serued	serued	vvn	served	serve	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
cast	cast	vvi	cast	cast	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
mite	mite	n1	mite	mite	0
ino	ino	uh	ino	ino	0
that	that	cst	that	that	0
Treasurie	Treasurie	n1	Treasury	treasury	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
dis	dis	zf	dis	this	0
∣	∣	sy	∣	∣	0
couering	couering	n-vvg	covering	cover	0
the	the	dt	the	the	0
by-pathes	by-pathes	n2	bypaths	bypath	0
of	of	pp-f	of	of	0
hypocrisie	hypocrisie	n1	hypocrisy	hypocrisy	0
and	and	cc	and	and	0
Apostasie	Apostasie	n1	Apostasy	apostasy	0
,	,	,	,	,	0
&	&	cc	&	and	0
strengthning	strengthning	vvg	strengthening	strengthen	0
the	the	dt	the	the	0
weake	weake	j	weak	weak	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
holy	holy	j	holy	holy	0
directions	directions	n2	directions	direction	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
may	may	vmb	may	may	0
happily	happily	av-j	happily	happy	0
build	build	vvi	built	build	0
them	them	pno32	them	they	0
forward	forward	av-j	forward	forward	0
to	to	p-acp	to	to	0
perfectiō	perfectiō	n1	perfection	perfection	0
.	.	.	.	.	1
Wher	Wher	c-crq	Where	where	0
∣	∣	sy	∣	∣	0
in	in	p-acp	in	in	0
though	though	c-acp	though	though	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
needes	needes	vvz	needs	need	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
knowledge	knowledge	n1	knowledge	knowledge	0
to	to	p-acp	to	to	0
Gods	Gods	npg1	Gods	God	0
glorie	glorie	n1	glory	glory	0
,	,	,	,	,	0
and	and	cc	and	and	0
mine	mine	po11	mine	my	0
owne	owne	d	own	own	0
abasing	abasing	vvg	abasing	abase	0
,	,	,	,	,	0
