Encrease	Encrease	n1	Increase	increase	0
of	of	pp-f	of	of	0
glory	glory	n1	glory	glory	0
.	.	.	.	.	1
MOre	MOre	n1	MOre	moor	0
thē	thē	pno32	them	they	0
much	much	av-d	much	much	0
beloued	beloued	vvn	beloved	belove	0
when	when	c-crq	when	when	0
god	god	n1	god	god	0
brought	brought	vvd	brought	bring	0
man	man	n1	man	man	0
forth	forth	av	forth	forth	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
first	first	ord	first	first	0
he	he	pns31	he	he	0
put	put	vvd	put	put	0
him	him	pno31	him	he	0
not	not	xx	not	not	0
into	into	p-acp	into	into	0
a	a	dt	a	a	0
vvildernes	vvildernes	n1	wilderness	wilderness	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
into	into	p-acp	into	into	0
a	a	dt	a	a	0
garden	garden	n1	garden	garden	0
,	,	,	,	,	0
a	a	dt	a	a	0
paradise	paradise	n1	paradise	paradise	0
,	,	,	,	,	0
&	&	cc	&	and	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
pleasure	pleasure	n1	pleasure	pleasure	0
wherby	wherby	c-crq	whereby	whereby	0
I	I	pns11	I	i	0
see	see	vvb	see	see	0
that	that	cst	that	that	0
his	his	po31	his	his	0
sacred	sacred	j	sacred	sacred	0
maiestie	maiestie	n1	majesty	majesty	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
reioyce	reioyce	vvi	rejoice	rejoice	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
misery	misery	n1	misery	misery	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
delight	delight	n1	delight	delight	0
&	&	cc	&	and	0
happines	happines	n1	happiness	happiness	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
creatures	creatures	n2	creatures	creature	0
.	.	.	.	.	1
Cheere	Cheere	vvb	Cheer	cheer	0
∣	∣	sy	∣	∣	0
fulnes	fulnes	n1	fullness	fullness	0
therefore	therefore	av	therefore	therefore	0
pleaseth	pleaseth	vvz	pleases	please	0
god	god	n1	god	god	0
better	better	av-jc	better	better	0
then	then	cs	then	than	0
dulnes	dulnes	n1	dulness	dulness	0
,	,	,	,	,	0
&	&	cc	&	and	0
heauines	heauines	n1	heaviness	heaviness	0
of	of	pp-f	of	of	0
hart	hart	n1	heart	hart	0
.	.	.	.	.	1
Let	Let	vvb	Let	let	0
vs	vs	pno12	us	we	0
be	be	vbi	be	be	0
▪	▪	▪	▪	▪	0
godly	godly	j	godly	godly	0
,	,	,	,	,	0
&	&	cc	&	and	0
good	good	j	good	good	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
pleasures	pleasures	n2	pleasures	pleasure	0
,	,	,	,	,	0
&	&	cc	&	and	0
it	it	pn31	it	it	0
