VPon	VPon	p-acp	Upon	upon	0
that	that	d	that	that	0
strangeReuel	strangeReuel	n-jn	strangeReuel	strangereuel	0
,	,	,	,	,	0
12.	12.	crd	12.	12.	0
7.	7.	crd	7.	7.	0
battel	battel	n1	battle	battle	0
in	in	p-acp	in	in	0
heauen	heauen	n1	heaven	heaven	0
,	,	,	,	,	0
betweene	betweene	p-acp	between	between	0
Mi	Mi	fw-mi	Mi	mi	0
∣	∣	sy	∣	∣	0
chaelDan	chaelDan	n1	chaelDan	chaeldan	0
.	.	.	.	.	1
12.	12.	crd	12.	12.	0
1.	1.	crd	1.	1.	0
the	the	dt	the	the	0
great	great	j	great	great	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
and	and	cc	and	and	0
Satan	Satan	np1	Satan	Satan	0
that	that	cst	that	that	0
olde	olde	j	old	old	0
Ser	Ser	zz	Ser	ser	0
∣	∣	sy	∣	∣	0
pent	pent	vvn	penned	pen	0
,	,	,	,	,	0
was	was	vbds	was	be	0
heard	heard	vvn	herd	hear	0
a	a	dt	a	a	0
loud	loud	j	loud	loud	0
voice	voice	n1	voice	voice	0
sounding	sounding	vvg	sounding	sound	0
foorth	foorth	av	forth	forth	0
ioy	ioy	n1	joy	joy	0
and	and	cc	and	and	0
woe	woe	n1	woe	woe	0
:	:	:	:	:	0
ioy	ioy	vvb	joy	joy	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
heauens	heauens	n2	heavens	heaven	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
dwell	dwell	vvb	dwell	dwell	0
therein	therein	av	therein	therein	0
:	:	:	:	:	0
becauseReuel	becauseReuel	vvb	becauseReuel	becausereuel	0
.	.	.	.	.	1
12.	12.	crd	12.	12.	0
12.	12.	crd	12.	12.	0
the	the	dt	the	the	0
accuser	accuser	n1	accuser	accuser	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
brethren	brethren	n2	brothers	brethren	0
is	is	vbz	is	be	0
cast	cast	vvn	cast	cast	0
out	out	av	out	out	0
thence	thence	av	thence	thence	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
woe	woe	n1	woe	woe	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
inhabitants	inhabitants	n2	inhabitants	inhabitant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
and	and	cc	and	and	0
