SOme	SOme	d	SOme	some	0
peraduenture	peraduenture	av	peradventure	peradventure	0
may	may	vmb	may	may	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
also	also	av	also	also	0
,	,	,	,	,	0
Vertuous	Vertuous	j	Virtuous	virtuous	0
Gentle	Gentle	np1	Gentle	Gentle	0
∣	∣	sy	∣	∣	0
woman	woman	n1	woman	woman	0
,	,	,	,	,	0
marueil	marueil	n1	marueil	marvel	0
not	not	xx	not	not	0
a	a	dt	a	a	0
little	little	j	little	little	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
moued	moued	vvd	moved	move	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
rather	rather	av-c	rather	rather	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
then	then	av	then	then	0
to	to	p-acp	to	to	0
diuers	diuers	j	diverse	diverse	0
other	other	j-jn	other	other	0
persons	persons	n2	persons	person	0
of	of	pp-f	of	of	0
no	no	dx	no	no	0
meane	meane	j	mean	mean	0
calling	calling	vvg	calling	call	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
nation	nation	n1	nation	nation	0
,	,	,	,	,	0
whoe	whoe	r-crq	who	who	0
might	might	vmd	might	may	0
with	with	p-acp	with	with	0
great	great	j	great	great	0
reason	reason	n1	reason	reason	0
haue	haue	vhb	have	have	0
expected	expected	vvn	expected	expect	0
the	the	dt	the	the	0
same	same	d	same	same	0
at	at	p-acp	at	at	0
my	my	po11	my	my	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
I	I	pns11	I	i	0
being	being	vbg	being	be	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
suppose	suppose	vvi	suppose	suppose	0
,	,	,	,	,	0
obliged	obliged	vvn	obliged	oblige	0
to	to	p-acp	to	to	0
sundry	sundry	j	sundry	sundry	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
for	for	p-acp	for	for	0
