Right-noble	Right-noble	j	Right-noble	right-noble	0
and	and	cc	and	and	0
Right-worshipfull	Right-worshipfull	j	Right-worshipful	right-worshipful	0
SIRS	SIRS	n2	SIRS	sir	0
,	,	,	,	,	0
WHEREAS	WHEREAS	cs	WHEREAS	whereas	0
it	it	pn31	it	it	0
often	often	av	often	often	0
happens	happens	vvz	happens	happen	0
that	that	d	that	that	0
men	men	n2	men	man	0
are	are	vbr	are	be	0
so	so	av	so	so	0
blinded	blinded	vvn	blinded	blind	0
with	with	p-acp	with	with	0
affection	affection	n1	affection	affection	0
and	and	cc	and	and	0
love	love	vvi	love	love	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
own	own	d	own	own	0
Affairs	Affairs	n2	Affairs	affair	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
oversee	oversee	vvb	oversee	oversee	0
all	all	d	all	all	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
and	and	cc	and	and	0
cannot	cannot	vmbx	cannot	can	0
make	make	vvi	make	make	0
free	free	j	free	free	0
use	use	n1	use	use	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
reason	reason	n1	reason	reason	0
to	to	pc-acp	to	to	0
render	render	vvi	render	render	0
thanks	thanks	n2	thanks	thank	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
highly	highly	av-j	highly	high	0
merited	merited	vvn	merited	merit	0
their	their	po32	their	their	0
gratefull	gratefull	j	grateful	grateful	0
acknowledgments	acknowledgments	n2	acknowledgments	acknowledgement	0
;	;	;	;	;	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
resolved	resolved	vvn	resolved	resolve	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
these	these	d	these	these	0
lines	lines	n2	lines	line	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
to	to	pc-acp	to	to	0
justifie	justifie	vvi	justify	justify	0
my	my	po11	my	my	0
self	self	n1	self	self	0
;	;	;	;	;	0
beseeching	beseeching	vvg	beseeching	beseech	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
serve	serve	vvb	serve	serve	0
them	them	pno32	them	they	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
memorial	memorial	n1	memorial	memorial	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
behalf	behalf	n1	behalf	behalf	0
;	;	;	;	;	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
let	let	vvi	let	let	0
them	them	pno32	them	they	0
remain	remain	vvi	remain	remain	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
testimony	testimony	n1	testimony	testimony	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
esteem	esteem	n1	esteem	esteem	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
already	already	av	already	already	0
gained	gained	vvn	gained	gain	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
promise	promise	vvb	promise	promise	0
to	to	pc-acp	to	to	0
improve	improve	vvi	improve	improve	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
services	services	n2	services	service	0
I	I	pns11	I	i	0
design	design	vvb	design	design	0
for	for	p-acp	for	for	0
every	every	d	every	every	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
so	so	av	so	so	0
long	long	av-j	long	long	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
live	live	vvi	live	live	0
in	in	p-acp	in	in	0
Peru	Peru	np1	Peru	Peru	0
,	,	,	,	,	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
parts	parts	n2	parts	part	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
insist	insist	vvi	insist	insist	0
on	on	p-acp	on	on	0
