Honour'd	Honour'd	j-vvn	Honoured	honour	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
THE	THE	dt	THE	the	0
first	first	ord	first	first	0
and	and	cc	and	and	0
last	last	ord	last	last	0
time	time	n1	time	time	0
you	you	pn22	you	you	0
gave	gave	vvd	gave	give	0
me	me	pno11	me	i	0
the	the	dt	the	the	0
favour	favour	n1	favour	favour	0
to	to	pc-acp	to	to	0
kisse	kisse	vvi	kiss	kiss	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
my	my	po11	my	my	0
return	return	n1	return	return	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Southern	Southern	j	Southern	southern	0
and	and	cc	and	and	0
Western	Western	j	Western	western	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
some	some	d	some	some	0
enquiries	enquiries	n2	enquiries	inquiry	0
of	of	pp-f	of	of	0
me	me	pno11	me	i	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
Iland	Iland	n1	Island	island	0
of	of	pp-f	of	of	0
Barbados	Barbados	np1	Barbados	Barbados	0
,	,	,	,	,	0
a	a	dt	a	a	0
place	place	n1	place	place	0
you	you	pn22	you	you	0
much	much	d	much	much	0
desired	desired	vvd	desired	desire	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
satisfied	satisfied	vvn	satisfied	satisfy	0
in	in	p-acp	in	in	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
my	my	po11	my	my	0
stay	stay	n1	stay	stay	0
was	was	vbds	was	be	0
but	but	cc-acp	but	but	0
short	short	j	short	short	0
,	,	,	,	,	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
give	give	vvi	give	give	0
You	You	pn22	You	you	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
sleight	sleight	n1	sleight	sleight	0
and	and	cc	and	and	0
scant	scant	j	scant	scant	0
relation	relation	n1	relation	relation	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
many	many	d	many	many	0
particulars	particulars	n2-jn	particulars	particular	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
desirous	desirous	j	desirous	desirous	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
informed	informed	vvn	informed	inform	0
in	in	p-acp	in	in	0
;	;	;	;	;	0
so	so	av	so	so	0
that	that	cst	that	that	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
present	present	j	present	present	0
,	,	,	,	,	0
I	I	pns11	I	i	0
rather	rather	av-c	rather	rather	0
poynted	poynted	j-vvn	pointed	point	0
at	at	p-acp	at	at	0
,	,	,	,	,	0
then	then	av	then	then	0
gave	gave	vvd	gave	give	0
a	a	dt	a	a	0
home-satisfaction	home-satisfaction	n1	home-satisfaction	home-satisfaction	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
what	what	r-crq	what	what	0
was	was	vbds	was	be	0
most	most	av-ds	most	most	0
fit	fit	j	fit	fit	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
known	known	vvn	known	know	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Beauties	Beauties	n2	Beauty's	beauty	0
and	and	cc	and	and	0
Riches	Riches	n2	Riches	riches	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
place	place	n1	place	place	0
.	.	.	.	.	1
Where	Where	c-crq	Where	where	0
∣	∣	sy	∣	∣	0
upon	upon	p-acp	upon	upon	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
impose	impose	vvi	impose	impose	0
on	on	p-acp	on	on	0
me	me	pno11	me	i	0
a	a	dt	a	a	0
task	task	n1	task	task	0
,	,	,	,	,	0
(	(	(	(	(	0
very	very	av	very	very	0
unfit	unfit	j	unfit	unfit	0
for	for	p-acp	for	for	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
undertake	undertake	vvi	undertake	undertake	0
,	,	,	,	,	0
being	being	vbg	being	be	0
one	one	pi	one	one	0
altogether	altogether	av	altogether	altogether	0
unlettered	unlettered	j	unlettered	unlettered	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
de	de	dt	the	the	0
∣	∣	sy	∣	∣	0
liver	liver	n1	liver	liver	0
in	in	p-acp	in	in	0
writing	writing	vvg	writing	write	0
,	,	,	,	,	0
the	the	dt	the	the	0
sum	sum	n1	sum	sum	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
I	I	pns11	I	i	0
knew	knew	vvd	knew	know	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
that	that	d	that	that	0
Iland	Iland	n1	Island	island	0
.	.	.	.	.	1
Though	Though	cs	Though	though	0
I	I	pns11	I	i	0
were	were	vbdr	were	be	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
conscious	conscious	j	conscious	conscious	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
own	own	d	own	own	0
ina	ina	n1	inam	inam	0
∣	∣	sy	∣	∣	0
bilities	bilities	n2	bilities	bility	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
,	,	,	,	,	0
my	my	po11	my	my	0
obedience	obedience	n1	obedience	obedience	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
mands	mands	vvz	mands	mand	0
,	,	,	,	,	0
led	led	vvd	led	lead	0
me	me	pno11	me	i	0
on	on	a-acp	on	on	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
you	you	pn22	you	you	0
a	a	dt	a	a	0
private	private	j	private	private	0
satisfaction	satisfaction	n1	satisfaction	satisfaction	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
you	you	pn22	you	you	0
so	so	av	so	so	0
earnestly	earnestly	av-j	earnestly	earnest	0
desired	desired	vvn	desired	desire	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
all	all	d	all	all	0
I	I	pns11	I	i	0
aimed	aimed	vvd	aimed	aim	0
at	at	p-acp	at	at	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
perusall	perusall	n1	perusal	perusal	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
me	me	pno11	me	i	0
a	a	dt	a	a	0
far	far	av-j	far	far	0
greater	greater	jc	greater	great	0
encouragement	encouragement	n1	encouragement	encouragement	0
,	,	,	,	,	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
expected	expected	vvd	expected	expect	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
allowance	allowance	n1	allowance	allowance	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
publishing	publishing	vvg	publishing	publish	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
common	common	j	common	common	0
benefit	benefit	n1	benefit	benefit	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
intend	intend	vvb	intend	intend	0
to	to	pc-acp	to	to	0
spend	spend	vvi	spend	spend	0
their	their	po32	their	their	0
times	times	n2	times	time	0
,	,	,	,	,	0
and	and	cc	and	and	0
venture	venture	vvi	venture	venture	0
their	their	po32	their	their	0
fortunes	fortunes	n2	fortune's	fortune	0
upon	upon	p-acp	upon	upon	0
such	such	d	such	such	0
un	un	j	un	unacustomated	0
∣	∣	sy	∣	∣	0
dertakings	dertakings	n2-vvg	dertakings	dertaking	0
▪	▪	▪	▪	▪	0
so	so	av	so	so	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
wanted	wanted	vvd	wanted	want	0
but	but	p-acp	but	but	0
means	means	n2	means	mean	0
or	or	cc	or	or	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
putting	putting	vvg	putting	put	0
it	it	pn31	it	it	0
forth	forth	av	forth	forth	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
,	,	,	,	,	0
those	those	d	those	those	0
two	two	crd	two	two	0
being	being	vbg	being	be	0
absent	absent	j	absent	absent	0
,	,	,	,	,	0
it	it	pn31	it	it	0
has	has	vhz	has	have	0
layne	layne	vvn	lain	lie	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
dark	dark	j	dark	dark	0
this	this	d	this	this	0
two	two	crd	two	two	0
years	years	n2	years	year	0
.	.	.	.	.	1
You	You	pn22	You	you	0
were	were	vbdr	were	be	0
then	then	av	then	then	0
likewise	likewise	av	likewise	likewise	0
pleased	pleased	vvn	pleased	please	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
cast	cast	vvi	cast	cast	0
your	your	po22	your	your	0
eyes	eyes	n2	eyes	eye	0
upon	upon	p-acp	upon	upon	0
some	some	d	some	some	0
pieces	pieces	n2	pieces	piece	0
of	of	pp-f	of	of	0
Limning	Limning	vvg	Limning	limn	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
done	done	vdn	done	do	0
since	since	p-acp	since	since	0
my	my	po11	my	my	0
return	return	n1	return	return	0
,	,	,	,	,	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
memory	memory	n1	memory	memory	0
only	only	av-j	only	only	0
)	)	)	)	)	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Trees	Trees	n2	Trees	tree	0
,	,	,	,	,	0
Plants	Plants	n2	Plants	plant	0
,	,	,	,	,	0
and	and	cc	and	and	0
Fruits	Fruits	n2	Fruits	fruit	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
seen	seen	vvn	seen	see	0
growing	growing	vvg	growing	grow	0
upon	upon	p-acp	upon	upon	0
that	that	d	that	that	0
place	place	n1	place	place	0
;	;	;	;	;	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
∣	∣	sy	∣	∣	0
selves	selves	n2	selves	self	0
of	of	pp-f	of	of	0
infinite	infinite	j	infinite	infinite	0
beauty	beauty	n1	beauty	beauty	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
losing	losing	vvg	losing	lose	0
much	much	av-d	much	much	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
life	life	n1	life	life	0
and	and	cc	and	and	0
lustre	lustre	n1	lustre	lustre	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
ill	ill	j-jn	ill	ill	0
handling	handling	n-vvg	handling	handle	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
,	,	,	,	,	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
afford	afford	vvi	afford	afford	0
them	them	pno32	them	they	0
an	an	dt	and	a	0
approbation	approbation	n1	approbation	approbation	0
,	,	,	,	,	0
beyond	beyond	p-acp	beyond	beyond	0
their	their	po32	their	their	0
value	value	n1	valve	value	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
gave	gave	vvd	gave	give	0
me	me	pno11	me	i	0
an	an	dt	and	a	0
ambition	ambition	n1	ambition	ambition	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
somewhat	somewhat	av	somewhat	somewhat	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
kinde	kinde	n1	kind	kind	0
,	,	,	,	,	0
more	more	av-dc	more	more	0
like	like	av-j	like	like	0
a	a	dt	a	a	0
Master	Master	n1	Master	master	0
;	;	;	;	;	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
purpose	purpose	n1	purpose	purpose	0
,	,	,	,	,	0
was	was	vbds	was	be	0
designing	designing	vvg	designing	design	0
a	a	dt	a	a	0
piece	piece	n1	piece	piece	0
of	of	pp-f	of	of	0
Land	Land	n1	Land	land	0
∣	∣	sy	∣	∣	0
scape	scape	vvb	escape	escape	0
,	,	,	,	,	0
and	and	cc	and	and	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
Story	Story	n1	Story	story	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
meant	meant	vvd	meant	mean	0
to	to	pc-acp	to	to	0
expresse	expresse	vvi	express	express	0
the	the	dt	the	the	0
postures	postures	n2	postures	posture	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Negres	Negres	n2	Negres	negre	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
severall	severall	j	several	several	0
kinds	kinds	n2	kinds	kind	0
of	of	pp-f	of	of	0
Sports	Sports	n2	Sports	sport	0
and	and	cc	and	and	0
Labours	Labours	n2	Labours	labour	0
;	;	;	;	;	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
it	it	pn31	it	it	0
,	,	,	,	,	0
the	the	dt	the	the	0
