I	I	pns11	I	i	0
Shall	Shall	vmb	Shall	shall	0
not	not	xx	not	not	0
need	need	vvi	need	need	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
spend	spend	vvi	spend	spend	0
much	much	d	much	much	0
time	time	n1	time	time	0
and	and	cc	and	and	0
many	many	d	many	many	0
words	words	n2	words	word	0
in	in	p-acp	in	in	0
commen	commen	vvn	come	come	0
∣	∣	sy	∣	∣	0
ding	ding	uh	ding	ding	0
this	this	d	this	this	0
Booke	Booke	n1	Book	book	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
sincere	sincere	j	sincere	sincere	0
Lo	Lo	np1	Lo	Lo	0
∣	∣	sy	∣	∣	0
vers	vers	zz	vers	vers	0
of	of	pp-f	of	of	0
Gods	Gods	ng1	Gods	god	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
seeing	seeing	vvg	seeing	see	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
,	,	,	,	,	0
surmounting	surmounting	vvg	surmounting	surmount	0
my	my	po11	my	my	0
best	best	js	best	best	0
praises	praises	n2	praises	praise	0
,	,	,	,	,	0
can	can	vmb	can	can	0
much	much	d	much	much	0
better	better	jc	better	better	0
grace	grace	n1	grace	grace	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
(	(	(	(	(	0
and	and	cc	and	and	0
many	many	d	many	many	0
were	were	vbdr	were	be	0
they	they	pns32	they	they	0
)	)	)	)	)	0
that	that	cst	that	that	0
knew	knew	vvd	knew	know	0
him	him	pno31	him	he	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
worke	worke	n1	work	work	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
may	may	vmb	may	may	0
worthily	worthily	av-j	worthily	worthy	0
commend	commend	vvi	commend	commend	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
knew	knew	vvd	knew	know	0
him	him	pno31	him	he	0
not	not	xx	not	not	0
.	.	.	.	.	1
Jt	Jt	np1	Jt	Jt	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
senteth	senteth	vvz	senteth	send	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
the	the	dt	the	the	0
la	la	fw-fr	la	la	0
∣	∣	sy	∣	∣	0
bours	bours	n1	bours	bours	0
and	and	cc	and	and	0
Lectures	Lectures	n2	Lectures	lecture	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
faithfull	faithfull	j	faithful	faithful	0
Servant	Servant	n1	Servant	servant	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
famous	famous	j	famous	famous	0
Prea	Prea	vvb	Prea	pray	0
∣	∣	sy	∣	∣	0
cher	cher	fw-fr	cher	cher	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
,	,	,	,	,	0
Doctor	Doctor	n1	Doctor	doctor	0
Sutton	Sutton	np1	Sutton	Sutton	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
weekly	weekly	j	weekly	weekly	0
exercise	exercise	n1	exercise	exercise	0
at	at	p-acp	at	at	0
S.	S.	n1	S.	saint	0
Marie	Marie	uh	Marry	marie	0
Overies	Overies	n2	Overies	overy	0
in	in	p-acp	in	in	0
Southwarke	Southwarke	np1	Southwarke	Southwark	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
delivered	delivered	vvn	delivered	deliver	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
recei	recei	n2	recei	recei	0
∣	∣	sy	∣	∣	0
ved	ved	vvn	ved	ve	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
generall	generall	j	general	general	0
applause	applause	n1	applause	applause	0
and	and	cc	and	and	0
approbation	approbation	n1	approbation	approbation	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
his	his	po31	his	his	0
Hearers	Hearers	n2	Hearers	hearer	0
,	,	,	,	,	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
godly	godly	j	godly	godly	0
and	and	cc	and	and	0
judicious	judicious	j	judicious	judicious	0
A	A	dt	A	a	0
man	man	n1	man	man	0
furnished	furnished	vvn	furnished	furnish	0
with	with	p-acp	with	with	0
many	many	d	many	many	0
rich	rich	j	rich	rich	0
endow	endow	vvi	endow	endow	0
∣	∣	sy	∣	∣	0
ments	ments	n2	ments	ment	0
,	,	,	,	,	0
and	and	cc	and	and	0
entrusted	entrusted	vvn	entrusted	entrust	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
great	great	j	great	great	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
Master	Master	n1	Master	master	0
with	with	p-acp	with	with	0
not	not	xx	not	not	0
a	a	dt	a	a	0
few	few	d	few	few	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
choycest	choycest	js	choicest	choice	0
talents	talents	n2	talents	talent	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
whilest	whilest	cs	whilst	while	0
he	he	pns31	he	he	0
lived	lived	vvd	lived	live	0
,	,	,	,	,	0
hee	hee	pns31	he	he	0
employed	employed	vvd	employed	employ	0
faithfully	faithfully	av-j	faithfully	faithful	0
and	and	cc	and	and	0
fruitfully	fruitfully	av-j	fruitfully	fruitful	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
glorie	glorie	n1	glory	glory	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
edification	edification	n1	edification	edification	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
people	people	n1	people	people	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
painfull	painfull	j	painful	painful	0
Ministerie	Ministerie	n1	Ministry	ministry	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
(	(	(	(	(	0
alas	alas	uh	alas	alas	0
)	)	)	)	)	0
too	too	av	too	too	0
little	little	j	little	little	0
a	a	dt	a	a	0
while	while	n1	while	while	0
did	did	vdd	did	do	0
this	this	d	this	this	0
burning	burning	j-vvg	burning	burn	0
and	and	cc	and	and	0
shining	shining	j-vvg	shining	shine	0
light	light	n1	light	light	0
appeare	appeare	vvi	appear	appear	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
setting	setting	vvg	setting	set	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Horizon	Horizon	n1	Horizon	horizon	0
,	,	,	,	,	0
and	and	cc	and	and	0
(	(	(	(	(	0
with	with	p-acp	with	with	0
∣	∣	sy	∣	∣	0
out	out	av	out	out	0
any	any	d	any	any	0
Poeticall	Poeticall	j	Poetical	poetical	0
fiction	fiction	n1	fiction	fiction	0
)	)	)	)	)	0
dying	dying	vvg	dying	die	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Ocean	Ocean	n1	Ocean	ocean	0
by	by	p-acp	by	by	0
an	an	dt	and	a	0
unnaturall	unnaturall	j	unnatural	unnatural	0
motion	motion	n1	motion	motion	0
,	,	,	,	,	0
before	before	c-acp	before	before	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
attained	attained	vvn	attained	attain	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
high	high	j	high	high	0
noone	noone	n1	noon	noon	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
perfection	perfection	n1	perfection	perfection	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
might	might	vmd	might	may	0
