DEarly	DEarly	av-jn	DEarly	dear	0
Beloved	Beloved	vvn	Beloved	belove	0
,	,	,	,	,	0
They	They	pns32	They	they	0
that	that	cst	that	that	0
love	love	vvb	love	love	0
God	God	np1	God	God	0
dear	dear	j-jn	dear	dear	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
are	are	vbr	are	be	0
dearly	dearly	av-jn	dearly	dear	0
beloved	beloved	vvn	beloved	belove	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
dearly	dearly	av-jn	dearly	dear	0
belo	belo	fw-it	belo	belo	0
∣	∣	sy	∣	∣	0
ved	ved	n-vvn	ved	ve	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
dearly	dearly	av-jn	dearly	dear	0
beloved	beloved	vvn	beloved	belove	0
of	of	pp-f	of	of	0
Angels	Angels	n2	Angels	angel	0
,	,	,	,	,	0
dearly	dearly	av-jn	dearly	dear	0
beloved	beloved	vvn	beloved	belove	0
of	of	pp-f	of	of	0
Saints	Saints	n2	Saints	saint	0
;	;	;	;	;	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
beloved	beloved	vvn	beloved	belove	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
the	the	dt	the	the	0
love	love	n1	love	love	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
love	love	n1	love	love	0
is	is	vbz	is	be	0
worth	worth	j	worth	worth	0
the	the	dt	the	the	0
having	having	vhg	having	have	0
.	.	.	.	.	1
O	O	sy	O	o	0
my	my	po11	my	my	0
dear	dear	j-jn	dear	dear	0
Friends	Friends	n2	Friends	friend	0
,	,	,	,	,	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
think	think	vvi	think	think	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
your	your	po22	your	your	0
condition	condition	n1	condition	condition	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
fills	fills	vvz	fills	fill	0
my	my	po11	my	my	0
eyes	eyes	n2	eyes	eye	0
with	with	p-acp	with	with	0
water	water	n1	water	water	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
with	with	p-acp	with	with	0
griefe	griefe	n1	grief	grief	0
;	;	;	;	;	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
Jeremy	Jeremy	np1	Jeremy	Jeremy	0
I	I	pns11	I	i	0
wish	wish	vvb	wish	wish	0
,	,	,	,	,	0
O	O	uh	Oh	oh	0
that	that	cst	that	that	0
my	my	po11	my	my	0
head	head	n1	head	head	0
were	were	vbdr	were	be	0
waters	waters	n2	waters	water	0
,	,	,	,	,	0
and	and	cc	and	and	0
mine	mine	po11	mine	my	0
eyes	eyes	n2	eyes	eye	0
a	a	dt	a	a	0
fountaine	fountaine	n1	fountain	fountain	0
of	of	pp-f	of	of	0
Tears	Tears	n2	Tears	tear	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
weep	weep	vvi	weep	weep	0
day	day	n1	day	day	0
and	and	cc	and	and	0
night	night	n1	night	night	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
slain	slain	n-vvn	slave	slay	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Daughter	Daughter	n1	Daughter	daughter	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
people	people	n1	people	people	0
,	,	,	,	,	0
Jeremiah	Jeremiah	np1	Jeremiah	Jeremiah	0
9.1	9.1	crd	9.1	9.1	0
.	.	.	.	.	1
Oh	Oh	uh	O	oh	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
constrained	constrained	vvn	constrained	constrain	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
live	live	vvi	live	live	0
and	and	cc	and	and	0
dye	dye	vvi	die	dye	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
spend	spend	vvb	spend	spend	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
spent	spent	vvn	spent	spend	0
for	for	p-acp	for	for	0
so	so	av	so	so	0
deare	deare	j-jn	deer	dear	0
a	a	dt	a	a	0
people	people	n1	people	people	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
;	;	;	;	;	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
chuse	chuse	vvi	choose	choose	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
doing	doing	vdg	doing	do	0
the	the	dt	the	the	0
work	work	n1	work	work	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
called	called	vvn	called	call	0
,	,	,	,	,	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
rather	rather	av-c	rather	rather	0
then	then	cs	then	than	0
any	any	d	any	any	0
where	where	c-crq	where	where	0
else	else	av	else	else	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
.	.	.	.	.	1
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
count	count	vvi	count	count	0
my	my	po11	my	my	0
Life	Life	n1	Life	life	0
dear	dear	j-jn	dear	dear	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
so	so	av	so	so	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
have	have	vhi	have	have	0
the	the	dt	the	the	0
liber	liber	fw-la	liber	libre	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
to	to	p-acp	to	to	0
preach	preach	vvi	preach	preach	0
Christ	Christ	np1	Christ	Christ	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
edification	edification	n1	edification	edification	0
and	and	cc	and	and	0
salvation	salvation	n1	salvation	salvation	0
.	.	.	.	.	1
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
your	your	po22	your	your	0
Consciences	Consciences	n2	Consciences	conscience	0
will	will	vmb	will	will	0
bear	bear	vvi	bear	bear	0
me	me	pno11	me	i	0
witnesse	witnesse	vvi	witness	witness	0
,	,	,	,	,	0
that	that	cst	that	that	0
whilest	whilest	cs	whilst	while	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Laboured	Laboured	vvd	Laboured	labour	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
lay	lay	vvd	lay	lie	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
helper	helper	n1	helper	helper	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
joy	joy	n1	joy	joy	0
,	,	,	,	,	0
not	not	xx	not	not	0
to	to	p-acp	to	to	0
Lord	Lord	n1	Lord	lord	0
it	it	pn31	it	it	0
over	over	p-acp	over	over	0
your	your	po22	your	your	0
faith	faith	n1	faith	faith	0
;	;	;	;	;	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
bless	bless	vvb	bless	bless	0
God	God	np1	God	God	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
good	good	j	good	good	0
conscience	conscience	n1	conscience	conscience	0
safely	safely	av-j	safely	safe	0
say	say	vvi	say	say	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
cove	cove	n1	cove	cove	0
∣	∣	sy	∣	∣	0
ted	ted	vvd	ted	t	0
no	no	dx	no	no	0
mans	mans	ng1	men	man	0
Gold	Gold	n1	Gold	gold	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
Silver	Silver	n1	Silver	silver	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
know	know	vvb	know	know	0
:	:	:	:	:	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
do	do	vdi	do	do	0
very	very	av	very	very	0
much	much	av-d	much	much	0
for	for	c-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
dare	dare	vvb	dare	dare	0
not	not	xx	not	not	0
sin	sin	n1	since	sin	0
against	against	p-acp	against	against	0
God	God	np1	God	God	0
and	and	cc	and	and	0
my	my	po11	my	my	0
own	own	d	own	own	0
Con	Con	vvb	Con	con	0
∣	∣	sy	∣	∣	0
science	science	n1	science	science	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
my	my	po11	my	my	0
dear	dear	j-jn	dear	dear	0
Brethren	Brethren	n2	Brothers	brethren	0
,	,	,	,	,	0
Though	Though	cs	Though	though	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
separated	separated	vvn	separated	separate	0
us	us	pno12	us	we	0
one	one	crd	one	one	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
they	they	pns32	they	they	0
cannot	cannot	vmbx	cannot	can	0
separate	separate	vvi	separate	separate	0
our	our	po12	our	our	0
hearts	hearts	n2	hearts	heart	0
;	;	;	;	;	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
there	there	a-acp	there	there	0
will	will	vmb	will	will	0
never	never	av-x	never	never	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
separation	separation	n1	separation	separation	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
loves	loves	n2	loves	love	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	d	that	that	0
will	will	vmb	will	will	0
still	still	av	still	still	0
continue	continue	vvi	continue	continue	0
;	;	;	;	;	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
see	see	vvi	see	see	0
one	one	pi	one	one	0
another	another	j-jn	another	another	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
love	love	vvi	love	love	0
one	one	pi	one	one	0
another	another	j-jn	another	another	0
,	,	,	,	,	0
and	and	cc	and	and	0
pray	pray	vvb	pray	pray	0
for	for	p-acp	for	for	0
one	one	crd	one	one	0
another	another	j-jn	another	another	0
:	:	:	:	:	0
And	And	cc	And	and	0
now	now	av	now	now	0
my	my	po11	my	my	0
