Worthy	Worthy	j	Worthy	worthy	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Cannot	Cannot	vmbx	Cannot	can	0
forget	forget	vvi	forget	forget	0
your	your	po22	your	your	0
fauours	fauours	n2	favours	favour	0
,	,	,	,	,	0
whiles	whiles	cs	while	while	0
I	I	pns11	I	i	0
enioy	enioy	vvb	enjoy	enjoy	0
them	them	pno32	them	they	0
:	:	:	:	:	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
the	the	dt	the	the	0
contemplation	contemplation	n1	contemplation	contemplation	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
sent	sent	n1	sent	scent	0
,	,	,	,	,	0
cannot	cannot	vmbx	cannot	can	0
properly	properly	av-j	properly	proper	0
be	be	vbi	be	be	0
called	called	vvn	called	call	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
membrance	membrance	n1	membrance	membrance	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
thinke	thinke	vvb	think	think	0
of	of	pp-f	of	of	0
giuing	giuing	vvg	giving	give	0
thankes	thankes	n2	thanks	thanks	0
,	,	,	,	,	0
mee	mee	pno11	me	i	0
thinkes	thinkes	vvz	thinks	think	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
more	more	av-dc	more	more	0
my	my	po11	my	my	0
purpose	purpose	n1	purpose	purpose	0
then	then	av	then	then	0
my	my	po11	my	my	0
feare	feare	n1	fear	fear	0
:	:	:	:	:	0
since	since	c-acp	since	since	0
gratitude	gratitude	n1	gratitude	gratitude	0
does	does	vdz	does	do	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
sort	sort	n1	sort	sort	0
make	make	vvi	make	make	0
bountie	bountie	n1	bounty	bounty	0
lesse	lesse	av-dc	less	less	0
;	;	;	;	;	0
bountie	bountie	n1	bounty	bounty	0
being	being	vbg	being	be	0
more	more	av-dc	more	more	0
content	content	j	content	content	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
attended	attended	vvn	attended	attend	0
by	by	p-acp	by	by	0
gratitude	gratitude	n1	gratitude	gratitude	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
being	being	vbg	being	be	0
more	more	av-dc	more	more	0
emi	emi	fw-fr	emi	emi	0
∣	∣	sy	∣	∣	0
nent	nent	n1	nent	nent	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
opposed	opposed	vvn	opposed	oppose	0
by	by	p-acp	by	by	0
ingra	ingra	fw-la	ingra	ingra	0
∣	∣	sy	∣	∣	0
titude	titude	n1	titude	titude	0
:	:	:	:	:	0
so	so	av	so	so	0
that	that	cst	that	that	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
thankes	thankes	n2	thanks	thanks	0
,	,	,	,	,	0
though	though	cs	though	though	0
not	not	xx	not	not	0
the	the	dt	the	the	0
best	best	js	best	best	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
thankes	thankes	n2	thanks	thanks	0
.	.	.	.	.	1
Besides	Besides	p-acp	Beside	beside	0
,	,	,	,	,	0
bountie	bountie	n1	bounty	bounty	0
hauing	hauing	vhg	having	have	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
more	more	n1	more	moor	0
of	of	pp-f	of	of	0
outward	outward	j	outward	outward	0
good	good	j	good	good	0
then	then	cs	then	than	0
grati	grati	fw-la	grati	grati	0
∣	∣	sy	∣	∣	0
tude	tude	n1	tude	tude	0
hath	hath	vhz	hath	have	0
,	,	,	,	,	0
gratitude	gratitude	n1	gratitude	gratitude	0
may	may	vmb	may	may	0
seeme	seeme	vvi	seem	seem	0
a	a	dt	a	a	0
pu	pu	fw-fr	pu	pu	0
∣	∣	sy	∣	∣	0
rer	rer	fw-fr	rer	rer	0
goodnesse	goodnesse	n1	goodness	goodness	0
,	,	,	,	,	0
then	then	cs	then	than	0
bountie	bountie	n1	bounty	bounty	0
;	;	;	;	;	0
and	and	cc	and	and	0
so	so	av	so	so	0
whiles	whiles	cs	while	while	0
it	it	pn31	it	it	0
striues	striues	vvz	strives	strive	0
to	to	pc-acp	to	to	0
requite	requite	vvi	requite	requite	0
it	it	pn31	it	it	0
,	,	,	,	,	0
may	may	vmb	may	may	0
seeme	seeme	vvi	seem	seem	0
to	to	pc-acp	to	to	0
exceed	exceed	vvi	exceed	exceed	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
since	since	c-acp	since	since	0
reason	reason	n1	reason	reason	0
tels	tels	vvz	tells	tell	0
vs	vs	pno12	us	we	0
that	that	d	that	that	0
ingratitude	ingratitude	n1	ingratitude	ingratitude	0
is	is	vbz	is	be	0
against	against	p-acp	against	against	0
rea	rea	fw-la	rea	rea	0
∣	∣	sy	∣	∣	0
son	son	n1	son	son	0
,	,	,	,	,	0
being	being	vbg	being	be	0
an	an	dt	and	a	0
iniustice	iniustice	n1	injustice	injustice	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
against	against	p-acp	against	against	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
I	I	pns11	I	i	0
choose	choose	vvb	choose	choose	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
thankes	thankes	n2	thanks	thanks	0
the	the	dt	the	the	0
common	common	j	common	common	0
way	way	n1	way	way	0
;	;	;	;	;	0
not	not	xx	not	not	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
iudged	iudged	vvd	judged	judge	0
it	it	pn31	it	it	0
enough	enough	d	enough	enough	0
gratitude	gratitude	n1	gratitude	gratitude	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
thankes	thankes	n2	thanks	thanks	0
thus	thus	av	thus	thus	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
iudged	iudged	vvd	judged	judge	0
it	it	pn31	it	it	0
too	too	av	too	too	0
much	much	av-d	much	much	0
ingratitude	ingratitude	n1	ingratitude	ingratitude	0
,	,	,	,	,	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
thankes	thankes	n2	thanks	thanks	0
thus	thus	av	thus	thus	0
.	.	.	.	.	1
That	That	cst	That	that	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
not	not	xx	not	not	0
therefore	therefore	av	therefore	therefore	0
requite	requite	vvi	requite	requite	0
your	your	po22	your	your	0
goodnesse	goodnesse	n1	goodness	goodness	0
with	with	p-acp	with	with	0
iniury	iniury	n1	injury	injury	0
,	,	,	,	,	0
I	I	pns11	I	i	0
endea	endea	n1	endea	endea	0
∣	∣	sy	∣	∣	0
uour	uour	vvb	uour	uour	0
to	to	pc-acp	to	to	0
imitate	imitate	vvi	imitate	imitate	0
that	that	d	that	that	0
goodnesse	goodnesse	n1	goodness	goodness	0
by	by	p-acp	by	by	0
making	making	vvg	making	make	0
my	my	po11	my	my	0
thankes	thankes	n2	thanks	thanks	0
;	;	;	;	;	0
like	like	av-j	like	like	0
vnto	vnto	p-acp	unto	unto	0
it	it	pn31	it	it	0
,	,	,	,	,	0
publicke	publicke	j	public	public	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
sincere	sincere	j	sincere	sincere	0
.	.	.	.	.	1
Secret	Secret	j-jn	Secret	secret	0
thankes	thankes	n2	thanks	thanks	0
are	are	vbr	are	be	0
often	often	av	often	often	0
free	free	j	free	free	0
from	from	p-acp	from	from	0
flatterie	flatterie	n1	flattery	flattery	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
alwayes	alwayes	av	always	always	0
like	like	av-j	like	like	0
it	it	pn31	it	it	0
:	:	:	:	:	0
being	being	vbg	being	be	0
common	common	j	common	common	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
at	at	p-acp	at	at	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
distance	distance	n1	distance	distance	0
from	from	p-acp	from	from	0
exami	exami	fw-la	exami	exami	0
∣	∣	sy	∣	∣	0
nation	nation	n1	nation	nation	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
flattery	flattery	n1	flattery	flattery	0
desires	desires	vvz	desires	desire	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
.	.	.	.	.	1
Hap	Hap	vvb	Hap	hap	0
∣	∣	sy	∣	∣	0
py	py	j	py	py	0
then	then	av	then	then	0
are	are	vbr	are	be	0
my	my	po11	my	my	0
thankes	thankes	n2	thanks	thanks	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
as	as	a-acp	as	as	0
iust	iust	j	just	just	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
merit	merit	n1	merit	merit	0
,	,	,	,	,	0
being	being	vbg	being	be	0
made	made	vvn	made	make	0
iust	iust	j	just	just	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
merit	merit	n1	merit	merit	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
so	so	av	so	so	0
appeares	appeares	vvz	appears	appear	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
exemplary	exemplary	j	exemplary	exemplary	0
&	&	cc	&	and	0
daily	daily	j	daily	daily	0
Deuotion	Deuotion	n1	Devotion	devotion	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
taken	taken	vvn	taken	take	0
more	more	dc	more	more	0
possession	possession	n1	possession	possession	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
then	then	av	then	then	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Dig	Dig	n1	Dig	dig	0
∣	∣	sy	∣	∣	0
nitie	nitie	n1	nitie	nitie	0
.	.	.	.	.	1
And	And	cc	And	and	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
Colledge	Colledge	n1	College	college	0
,	,	,	,	,	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
made	made	vvn	made	make	0
it	it	pn31	it	it	0
enioy	enioy	vvi	enjoy	enjoy	0
a	a	dt	a	a	0
Statute	Statute	n1	Statute	statute	0
of	of	pp-f	of	of	0
Improouement	Improouement	n1	Improvement	improvement	0
,	,	,	,	,	0
not	not	xx	not	not	0
so	so	av	so	so	0
much	much	av-d	much	much	0
in	in	p-acp	in	in	0
Dyet	Dyet	n1	Diet	diet	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
Studie	Studie	n1	Study	study	0
:	:	:	:	:	0
ruling	ruling	vvg	ruling	rule	0
it	it	pn31	it	it	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Statute	Statute	n1	Statute	statute	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Example	Example	n1	Example	example	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
Deane	Deane	zz	Deane	deane	0
beyond	beyond	p-acp	beyond	beyond	0
Your	Your	po22	Your	your	0
time	time	n1	time	time	0
.	.	.	.	.	1
Any	Any	d	Any	any	0
man	man	n1	man	man	0
May	May	vmb	May	may	0
say	say	vvi	say	say	0
thus	thus	av	thus	thus	0
much	much	av-d	much	much	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
Must	Must	vmb	Must	must	0
:	:	:	:	:	0
truth	truth	n1	truth	truth	0
will	will	vmb	will	will	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
iustice	iustice	n1	justice	justice	0
in	in	p-acp	in	in	0
another	another	j-jn	another	another	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
choice	choice	n1	choice	choice	0
will	will	vmb	will	will	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
gratitude	gratitude	n1	gratitude	gratitude	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
Mee	Mee	pno11	Me	i	0
:	:	:	:	:	0
who	who	r-crq	who	who	0
owe	owe	vvb	owe	owe	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
;	;	;	;	;	0
nay	nay	uh-x	nay	nay	0
,	,	,	,	,	0
who	who	q-crq	who	who	0
owe	owe	vvb	owe	owe	0
my	my	po11	my	my	0
Friendes	Friendes	n2	Friends	friend	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
.	.	.	.	.	1
They	They	pns32	They	they	0
haue	haue	vhb	have	have	0
giuen	giuen	vvn	given	give	0
me	me	pno11	me	i	0
blessings	blessings	n2	blessings	blessing	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
giuen	giuen	vvn	given	give	0
me	me	pno11	me	i	0
Them	Them	pno32	Them	they	0
;	;	;	;	;	0
euen	euen	av	even	even	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Noble	Noble	j	Noble	noble	0
(	(	(	(	(	0
and	and	cc	and	and	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
your	your	po22	your	your	0
fa	fa	fw-it	fa	fa	0
∣	∣	sy	∣	∣	0
uour	uour	n1	uour	uour	0
)	)	)	)	)	0
My	My	po11	My	my	0
