RIGHT	RIGHT	av-jn	RIGHT	right	0
honorable	honorable	j	honourable	honourable	0
and	and	cc	and	and	0
my	my	po11	my	my	0
ve	ve	zz	ve	ve	0
∣	∣	sy	∣	∣	0
rie	rie	n1	rye	rye	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
consi	consi	fw-la	consi	consi	0
∣	∣	sy	∣	∣	0
derations	derations	n2	derations	deration	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
enforced	enforced	vvd	inforced	enforce	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
hir	hir	png31	his	he	0
maiestie	maiestie	n1	majesty	majesty	0
the	the	dt	the	the	0
first	first	ord	first	first	0
frutes	frutes	n2	fruits	fruit	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
publik	publik	j	public	public	0
writing	writing	n1	writing	writing	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
exceding	exceding	vvg	exceeding	exceed	0
great	great	j	great	great	0
,	,	,	,	,	0
so	so	av	so	so	0
those	those	d	those	those	0
reasons	reasons	n2	reasons	reason	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
induce	induce	vvb	induce	induce	0
me	me	pno11	me	i	0
now	now	av	now	now	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
honor	honor	n1	honour	honour	0
,	,	,	,	,	0
this	this	d	this	this	0
my	my	po11	my	my	0
second	second	ord	second	second	0
labor	labor	n1	labour	labour	0
,	,	,	,	,	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
verie	verie	av	very	very	0
small	small	j	small	small	0
.	.	.	.	.	1
Hir	Hir	po31	His	his	0
maiestie	maiestie	n1	majesty	majesty	0
representeth	representeth	vvz	representeth	represent	0
the	the	dt	the	the	0
personage	personage	n1	personage	personage	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
hole	hole	n1	hold	hole	0
land	land	n1	land	land	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefor	therefor	av	therefore	therefore	0
clameth	clameth	vvz	claimeth	claim	0
a	a	dt	a	a	0
prero	prero	n1	prero	prero	0
∣	∣	sy	∣	∣	0
gatiue	gatiue	n1	gatiue	gatiue	0
in	in	p-acp	in	in	0
dewtie	dewtie	n1	duty	duty	0
,	,	,	,	,	0
both	both	av-d	both	both	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
excellencie	excellencie	n1	excellency	excellency	0
of	of	pp-f	of	of	0
hir	hir	png31	his	he	0
place	place	n1	place	place	0
,	,	,	,	,	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
she	she	pns31	she	she	0
is	is	vbz	is	be	0
honored	honored	vvn	honoured	honour	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
our	our	po12	our	our	0
prince	prince	n1	prince	prince	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
greatnesse	greatnesse	n1	greatness	greatness	0
of	of	pp-f	of	of	0
hir	hir	png31	his	he	0
care	care	n1	care	care	0
,	,	,	,	,	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
she	she	pns31	she	she	0
is	is	vbz	is	be	0
charged	charged	vvn	charged	charge	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
our	our	po12	our	our	0
parent	parent	n1	parent	parent	0
.	.	.	.	.	1
If	If	cs	If	if	0
honor	honor	n1	honour	honour	0
be	be	vbb	be	be	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
don	don	vdn	dONE	do	0
,	,	,	,	,	0
hir	hir	png31	his	he	0
place	place	n1	place	place	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
clame	clame	vvi	claim	claim	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
common	common	j	common	common	0
good	good	j	good	good	0
,	,	,	,	,	0
then	then	av	then	then	0
hir	hir	png31	his	he	0
charge	charge	n1	charge	charge	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
chalenge	chalenge	vvi	challenge	challenge	0
