TWo	TWo	crd	TWo	two	0
thinges	thinges	n2	things	thing	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
Gratious	Gratious	j	Gracious	gracious	0
Soueraigne	Soueraigne	n-jn	Sovereign	sovereign	0
)	)	)	)	)	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
chifest	chifest	j	chifest	chife	0
regard	regard	n1	regard	regard	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
terrene	terrene	j	terrene	terrene	0
and	and	cc	and	and	0
humane	humane	j	humane	humane	0
affaires	affaires	n2	affairs	affair	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
euer	euer	av	ever	ever	0
apprised	apprised	vvn	apprised	apprise	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
highest	highest	js	highest	high	0
value	value	n1	valve	value	0
:	:	:	:	:	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
the	the	dt	the	the	0
present	present	j	present	present	0
being	being	vbg	being	be	0
:	:	:	:	:	0
Fame	Fame	n1	Fame	fame	0
and	and	cc	and	and	0
Reputation	Reputation	n1	Reputation	reputation	0
,	,	,	,	,	0
the	the	dt	the	the	0
beautie	beautie	n1	beauty	beauty	0
and	and	cc	and	and	0
splendor	splendor	n1	splendour	splendour	0
theereof	theereof	av	theereof	theereof	0
:	:	:	:	:	0
The	The	dt	The	the	0
first	first	ord	first	first	0
giuing	giuing	vvg	giving	give	0
esse	esse	fw-la	esse	esse	0
,	,	,	,	,	0
aftr	aftr	vvb	aftr	aftr	0
non	non	fw-fr	non	non	0
esse	esse	fw-la	esse	esse	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
earthlie	earthlie	j	earthly	earthly	0
Creature	Creature	n1	Creature	creature	0
,	,	,	,	,	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
maintaining	maintaining	vvg	maintaining	maintain	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
sorte	sorte	n1	sort	sort	0
,	,	,	,	,	0
a	a	dt	a	a	0
perptuall	perptuall	j-jn	perptuall	perptuall	0
life	life	n1	life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
glorious	glorious	j	glorious	glorious	0
liuing	liuing	n-vvg	living	live	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
we	we	pns12	we	we	0
be	be	vbb	be	be	0
dead	dead	j	dead	dead	0
.	.	.	.	.	1
Therefore	Therefore	av	Therefore	therefore	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
how	how	c-crq	how	how	0
much	much	av-d	much	much	0
the	the	dt	the	the	0
possessors	possessors	n2	possessors'	possessor	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
dignities	dignities	n2	dignities	dignity	0
,	,	,	,	,	0
be	be	vbb	be	be	0
more	more	av-dc	more	more	0
popular	popular	j	popular	popular	0
,	,	,	,	,	0
publique	publique	j	public	public	0
,	,	,	,	,	0
and	and	cc	and	and	0
greater	greater	jc	greater	great	0
in	in	p-acp	in	in	0
number	number	n1	number	number	0
,	,	,	,	,	0
State	State	n1	State	state	0
,	,	,	,	,	0
or	or	cc	or	or	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
eminence	eminence	n1	eminence	eminence	0
:	:	:	:	:	0
y	y	zz	y	y	0
so	so	av	so	so	0
many	many	d	many	many	0
degrees	degrees	n2	degrees	degree	0
,	,	,	,	,	0
vnworthily	vnworthily	av-j	unworthily	unworthy	0
and	and	cc	and	and	0
trecherouslie	trecherouslie	av-j	treacherously	treacherous	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
depriued	depriued	vvn	deprived	deprive	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
is	is	vbz	is	be	0
more	more	av-dc	more	more	0
iniurious	iniurious	j	injurious	injurious	0
,	,	,	,	,	0
guilie	guilie	j	guily	guily	0
of	of	pp-f	of	of	0
wickednesse	wickednesse	n1	wickedness	wickedness	0
,	,	,	,	,	0
and	and	cc	and	and	0
obnoxious	obnoxious	j	obnoxious	obnoxious	0
to	to	p-acp	to	to	0
Restitution	Restitution	n1	Restitution	restitution	0
.	.	.	.	.	1
Concerning	Concerning	vvg	Concerning	concern	0
the	the	dt	the	the	0
former	former	j	former	former	0
;	;	;	;	;	0
The	The	dt	The	the	0
late	late	j	late	late	0
intended	intended	j-vvn	intended	intend	0
Conspiracy	Conspiracy	n1	Conspiracy	conspiracy	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
life	life	n1	life	life	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Royall	Royall	j	Royal	royal	0
Maiestie	Maiestie	n1	Majesty	majesty	0
,	,	,	,	,	0
(	(	(	(	(	0
the	the	dt	the	the	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
Vnion	Vnion	n1	Union	union	0
,	,	,	,	,	0
Rule	Rule	n1	Rule	rule	0
,	,	,	,	,	0
and	and	cc	and	and	0
Direction	Direction	n1	Direction	direction	0
to	to	p-acp	to	to	0
these	these	d	these	these	0
vnited	vnited	j-vvn	united	unite	0
Kingdomes	Kingdomes	n2	Kingdoms	kingdom	0
)	)	)	)	)	0
so	so	av	so	so	0
many	many	d	many	many	0
Nobles	Nobles	n2-j	Nobles	noble	0
,	,	,	,	,	0
and	and	cc	and	and	0
Per	Per	fw-la	Per	per	0
∣	∣	sy	∣	∣	0
sons	sons	n2	sons	son	0
of	of	pp-f	of	of	0
esteeme	esteeme	n1	esteem	esteem	0
,	,	,	,	,	0
was	was	vbds	was	be	0
so	so	av	so	so	0
heinous	heinous	j	heinous	heinous	0
impiety	impiety	n1	impiety	impiety	0
,	,	,	,	,	0
that	that	cst	that	that	0
nothing	nothing	pix	nothing	nothing	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
holy	holy	j	holy	holy	0
can	can	vmb	can	can	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
Legitimate	Legitimate	j	Legitimate	legitimate	0
;	;	;	;	;	0
no	no	dx	no	no	0
pretence	pretence	n1	pretence	pretence	0
of	of	pp-f	of	of	0
Religion	Religion	n1	Religion	religion	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
leadged	leadged	vvd	leadged	leadge	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
excuse	excuse	vvi	excuse	excuse	0
it	it	pn31	it	it	0
:	:	:	:	:	0
God	God	np1	God	God	0
and	and	cc	and	and	0
heauen	heauen	n1	heaven	heaven	0
condemne	condemne	vvi	condemn	condemn	0
it	it	pn31	it	it	0
