Honoured	Honoured	j-vvn	Honoured	honour	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
WHen	WHen	c-crq	WHen	when	0
I	I	pns11	I	i	0
consi	consi	fw-la	consi	consi	0
∣	∣	sy	∣	∣	0
dered	dered	vvd	dered	dere	0
the	the	dt	the	the	0
Greatness	Greatness	n1	Greatness	greatness	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Merit	Merit	n1	Merit	merit	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
suitable	suitable	j	suitable	suitable	0
Character	Character	n1	Character	character	0
the	the	dt	the	the	0
World	World	n1	World	world	0
gives	gives	vvz	gives	give	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
doubt	doubt	n1	doubt	doubt	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
self	self	n1	self	self	0
whether	whether	cs	whither	whether	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
adventure	adventure	vvi	adventure	adventure	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
this	this	d	this	this	0
small	small	j	small	small	0
Piece	Piece	n1	Piece	piece	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
I	I	pns11	I	i	0
been	been	vbn	been	be	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
∣	∣	sy	∣	∣	0
sured	sured	vvn	sured	sure	0
of	of	pp-f	of	of	0
its	its	po31	its	its	0
real	real	j	real	real	0
worth	worth	n1	worth	worth	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
liberal	liberal	j	liberal	liberal	0
and	and	cc	and	and	0
in	in	zz	in	in	0
∣	∣	sy	∣	∣	0
genuous	genuous	j	genuous	genuous	0
Education	Education	n1	Education	education	0
,	,	,	,	,	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
fined	fined	vvn	fined	fine	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
being	being	vbg	being	be	0
bred	bred	vvn	bred	breed	0
up	up	a-acp	up	up	0
to	to	p-acp	to	to	0
Arms	Arms	n2	Arms	arm	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Employment	Employment	n1	Employment	employment	0
at	at	p-acp	at	at	0
Court	Court	n1	Court	court	0
,	,	,	,	,	0
the	the	dt	the	the	0
two	two	crd	two	two	0
chief	chief	j-jn	chief	chief	0
Schools	Schools	n2	Schools	school	0
of	of	pp-f	of	of	0
Experience	Experience	n1	Experience	experience	0
(	(	(	(	(	0
Advantages	Advantages	n2	Advantages	advantage	0
which	which	r-crq	which	which	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Industry	Industry	n1	Industry	industry	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
utmost	utmost	j	utmost	utmost	0
im	im	p-acp	im	in	0
∣	∣	sy	∣	∣	0
proved	proved	vvd	proved	prove	0
)	)	)	)	)	0
makes	makes	vvz	makes	make	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
only	only	j	only	only	0
Person	Person	n1	Person	person	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
at	at	p-acp	at	at	0
present	present	j	present	present	0
think	think	vvb	think	think	0
of	of	pp-f	of	of	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
fit	fit	j	fit	fit	0
Judge	Judge	n1	Judge	judge	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
only	only	j	only	only	0
Person	Person	n1	Person	person	0
(	(	(	(	(	0
having	having	vhg	having	have	0
born	born	vvn	born	bear	0
a	a	dt	a	a	0
Publick	Publick	j	Public	public	0
Cha	Cha	zz	Cha	cha	0
∣	∣	sy	∣	∣	0
racter	racter	n1	racter	racter	0
abroad	abroad	av	abroad	abroad	0
)	)	)	)	)	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
believe	believe	vvi	believe	believe	0
could	could	vmd	could	can	0
imitate	imitate	vvi	imitate	imitate	0
or	or	cc	or	or	0
out-do	out-do	vvi	outdo	outdo	0
our	our	po12	our	our	0
Author	Author	n1	Author	author	0
.	.	.	.	.	1
You	You	pn22	You	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
our	our	po12	our	our	0
Sacredo	Sacredo	fw-la	Sacredo	sacredo	0
,	,	,	,	,	0
have	have	vhb	have	have	0
laid	laid	vvn	laid	lay	0
Foun	Foun	n1	Foum	foum	0
∣	∣	sy	∣	∣	0
dations	dations	n2	delations	delation	0
adapted	adapted	vvn	adapted	adapt	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
future	future	j-jn	future	future	0
Greatness	Greatness	n1	Greatness	greatness	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
excellent	excellent	j	excellent	excellent	0
Qualifica	Qualifica	np1	Qualifica	Qualifica	0
∣	∣	sy	∣	∣	0
tions	tions	j	tions	tions	0
and	and	cc	and	and	0
Perfections	Perfections	n2	Perfections	perfection	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
Master	Master	n1	Master	master	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
have	have	vhb	have	have	0
made	made	vvn	made	make	0
you	you	pn22	you	you	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
known	known	vvn	known	know	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
an	an	dt	and	a	0
expert	expert	j	expert	expert	0
Souldier	Souldier	n1	Soldier	soldier	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
pleat	pleat	n1	pleat	pleat	0
Courtier	Courtier	n1	Courtier	courtier	0
,	,	,	,	,	0
highly	highly	av-j	highly	high	0
esteemed	esteemed	vvn	esteemed	esteem	0
and	and	cc	and	and	0
beloved	beloved	vvn	beloved	belove	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
;	;	;	;	;	0
so	so	av	so	so	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
His	His	po31	His	his	0
Majesty	Majesty	n1	Majesty	majesty	0
shall	shall	vmb	shall	shall	0
think	think	vvi	think	think	0
fit	fit	j	fit	fit	0
to	to	pc-acp	to	to	0
raise	raise	vvi	raise	raise	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
higher	higher	jc	higher	high	0
Station	Station	n1	Station	station	0
,	,	,	,	,	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
sit	sit	vvi	fit	sit	0
easie	easie	j	easy	easy	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
have	have	vhi	have	have	0
this	this	d	this	this	0
Happiness	Happiness	n1	Happiness	happiness	0
ad	ad	vvi	and	add	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
to	to	pc-acp	to	to	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
you	you	pn22	you	you	0
enjoy	enjoy	vvb	enjoy	enjoy	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Great	Great	j	Great	great	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
Envied	Envied	vvd	Envied	envy	0
.	.	.	.	.	1
The	The	dt	The	the	0
Freedom	Freedom	n1	Freedom	freedom	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
allowed	allowed	vvn	allowed	allow	0
me	me	pno11	me	i	0
,	,	,	,	,	0
made	made	vvd	made	make	0
me	me	pno11	me	i	0
give	give	vvi	give	give	0
you	you	pn22	you	you	0
some	some	d	some	some	0
small	small	j	small	small	0
Account	Account	vvb	Account	account	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
future	future	j-jn	future	future	0
Studies	Studies	n2	Studies	study	0
,	,	,	,	,	0
and	and	cc	and	and	0
here	here	av	here	here	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Essay	Essay	n1	Essay	essay	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
:	:	:	:	:	0
And	And	cc	And	and	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
afford	afford	vvi	afford	afford	0
a	a	dt	a	a	0
Diversion	Diversion	n1	Diversion	diversion	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
sent	sent	n1	sent	scent	0
Course	Course	n1	Course	course	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
an	an	dt	and	a	0
extraordinary	extraordinary	j	extraordinary	extraordinary	0
Favour	Favour	n1	Favour	favour	0
and	and	cc	and	and	0
Kindness	Kindness	n1	Kindness	kindness	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
endea	endea	n1	endea	endea	0
∣	∣	sy	∣	∣	0
vour	vour	zz	vour	vour	0
to	to	p-acp	to	to	0
make	make	vvi	make	make	0
up	up	a-acp	up	up	0
the	the	dt	the	the	0
Loss	Loss	n1	Loss	loss	0
of	of	pp-f	of	of	0
Time	Time	n1	Time	time	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
future	future	j-jn	future	future	0
Diligence	Diligence	n1	Diligence	diligence	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
can	can	vmb	can	can	0
any	any	d	any	any	0
one	one	pi	one	one	0
be	be	vbi	be	be	0
said	said	vvn	said	say	0
to	to	pc-acp	to	to	0
lose	lose	vvi	loose	lose	0
his	his	po31	his	his	0
Time	Time	n1	Time	time	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
happy	happy	j	happy	happy	0
Oc	Oc	n1	Oc	oc	0
∣	∣	sy	∣	∣	0
casion	casion	n1	casion	casion	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
Example	Example	n1	Example	example	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
great	great	j	great	great	0
Vertue	Vertue	n1	Virtue	virtue	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
Care	Care	n1	Care	care	0
and	and	cc	and	and	0
Industry	Industry	n1	Industry	industry	0
is	is	vbz	is	be	0
so	so	av	so	so	0
early	early	av-j	early	early	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
seems	seems	vvz	seems	seem	0
to	to	pc-acp	to	to	0
out-strip	out-strip	vvi	outstrip	outstrip	0
the	the	dt	the	the	0
quickness	quickness	n1	quickness	quickness	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Master's	Master's	ng1	Master's	master	0
Bounty	Bounty	n1	Bounty	bounty	0
?	?	?	?	?	1
All	All	av-d	All	all	0
my	my	po11	my	my	0
aim	aim	n1	aim	aim	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
my	my	po11	my	my	0
Dedication	Dedication	n1	Dedication	dedication	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
is	is	vbz	is	be	0
only	only	j	only	only	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
recei	recei	fw-mi	recei	recei	0
∣	∣	sy	∣	∣	0
ved	ved	j	ved	ved	0
great	great	j	great	great	0
already	already	av	already	already	0
,	,	,	,	,	0
and	and	cc	and	and	0
am	am	vbm	am	be	0
still	still	av	still	still	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
opportu	opportu	n1	opportu	opportu	0
∣	∣	sy	∣	∣	0
nity	nity	n1	nity	nity	0
of	of	pp-f	of	of	0
receiving	receiving	vvg	receiving	receive	0
greater	greater	jc	greater	great	0
Obligations	Obligations	n2	Obligations	obligation	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
;	;	;	;	;	0
so	so	av	so	so	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
in	in	p-acp	in	in	0
Gratitude	Gratitude	n1	Gratitude	gratitude	0
and	and	cc	and	and	0
Duty	Duty	n1	Duty	duty	0
bound	bound	vvn	bound	bind	0
publickly	publickly	av-j	publicly	public	0
to	to	p-acp	to	to	0
own	own	d	own	own	0
,	,	,	,	,	0
and	and	cc	and	and	0
upon	upon	p-acp	upon	upon	0
all	all	d	all	all	0
occasions	occasions	n2	occasions	occasion	0
shew	shew	vvi	show	show	0
my	my	po11	my	my	0
self	self	n1	self	self	0
,	,	,	,	,	0
January	January	np1	January	January	0
24	24	crd	24	24	0
,	,	,	,	,	0
1684	1684	crd	1684	1684	0
/	/	/	/	/	0
5	5	crd	5	5	0
Honoured	Honoured	j-vvn	Honoured	honour	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	1
