EVen	EVen	av	EVen	even	0
as	as	a-acp	as	as	0
,	,	,	,	,	0
my	my	po11	my	my	0
brethren	brethren	n2	brothers	brethren	0
and	and	cc	and	and	0
fellow-soldiers	fellow-soldiers	n2	fellow-soldiers	fellow-soldier	0
,	,	,	,	,	0
our	our	po12	our	our	0
blessed	blessed	j-vvn	blessed	bless	0
Saviour	Saviour	n1	Saviour	saviour	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
the	the	dt	the	the	0
only	only	av-j	only	only	0
begotten	begotten	vvn	begotten	beget	0
Son	Son	n1	Son	son	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
determinate	determinate	j	determinate	determinate	0
will	will	n1	will	will	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
being	being	vbg	being	be	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
foundations	foundations	n2	foundations	foundation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
were	were	vbdr	were	be	0
laid	laid	vvn	laid	lay	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
fulness	fulness	n1	fullness	fullness	0
of	of	pp-f	of	of	0
time	time	n1	time	time	0
left	left	vvd	left	leave	0
the	the	dt	the	the	0
bosome	bosome	n1	bosom	bosom	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
heaven	heaven	n1	heaven	heaven	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
and	and	cc	and	and	0
took	took	vvd	took	take	0
our	our	po12	our	our	0
nature	nature	n1	nature	nature	0
upon	upon	p-acp	upon	upon	0
him	him	pno31	him	he	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
born	born	vvn	born	bear	0
into	into	p-acp	into	into	0
this	this	d	this	this	0
miser	miser	n1	miser	miser	0
∣	∣	sy	∣	∣	0
able	able	j	able	able	0
world	world	n1	world	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
here	here	av	here	here	0
to	to	pc-acp	to	to	0
live	live	vvi	live	live	0
a	a	dt	a	a	0
poor	poor	j	poor	poor	0
,	,	,	,	,	0
wretched	wretched	j	wretched	wretched	0
,	,	,	,	,	0
and	and	cc	and	and	0
miserable	miserable	j	miserable	miserable	0
life	life	n1	life	life	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
crucified	crucified	vvn	crucified	crucify	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
redemption	redemption	n1	redemption	redemption	0
of	of	pp-f	of	of	0
mankind	mankind	n1	mankind	mankind	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
sa	sa	uh	sa	sa	0
∣	∣	sy	∣	∣	0
tisfie	tisfie	vvi	tisfie	tisfie	0
his	his	po31	his	his	0
heavenly	heavenly	j	heavenly	heavenly	0
Fathers	Fathers	ng1	Father's	father	0
Divine	Divine	j-jn	Divine	divine	0
Justice	Justice	n1	Justice	justice	0
and	and	cc	and	and	0
wrath	wrath	n1	wrath	wrath	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
sins	sins	n2	sins	sin	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
miserable	miserable	j	miserable	miserable	0
lost	lost	j-vvn	lost	lose	0
sons	sons	n2	sons	son	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
parents	parents	n2	parents	parent	0
Adam	Adam	np1	Adam	Adam	0
and	and	cc	and	and	0
Eve	Eve	np1	Eve	Eve	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
quer	quer	vvb	quer	quer	0
death	death	n1	death	death	0
,	,	,	,	,	0
sin	sin	n1	since	sin	0
,	,	,	,	,	0
and	and	cc	and	and	0
hell	hell	n1	hell	hell	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
death	death	n1	death	death	0
and	and	cc	and	and	0
passion	passion	n1	passion	passion	0
;	;	;	;	;	0
by	by	p-acp	by	by	0
means	means	n2	means	mean	0
where	where	c-crq	where	where	0
∣	∣	sy	∣	∣	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
and	and	cc	and	and	0
faith	faith	n1	faith	faith	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
,	,	,	,	,	0
we	we	pns12	we	we	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
freed	freed	vvn	freed	free	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
curse	curse	n1	curse	curse	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
due	due	j-jn	due	due	0
to	to	p-acp	to	to	0
sinners	sinners	n2	sinners	sinner	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
delivered	delivered	vvn	delivered	deliver	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
bondage	bondage	n1	bondage	bondage	0
of	of	pp-f	of	of	0
Satan	Satan	np1	Satan	Satan	0
,	,	,	,	,	0
that	that	cst	that	that	0
old	old	j	old	old	0
enemy	enemy	n1	enemy	enemy	0
of	of	pp-f	of	of	0
mankind	mankind	n1	mankind	mankind	0
:	:	:	:	:	0
So	So	av	So	so	0
you	you	pn22	you	you	0
likewise	likewise	av	likewise	likewise	0
,	,	,	,	,	0
dearly	dearly	av-jn	dearly	dear	0
