SOlons	SOlons	ng1	SOlons	solon	0
law	law	n1	law	law	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Athenians	Athenians	njp2	Athenians	athenian	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
Honorable	Honorable	j	Honourable	honourable	0
)	)	)	)	)	0
adiuged	adiuged	vvn	adjudged	adjudge	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
die	die	vvi	die	die	0
,	,	,	,	,	0
&	&	cc	&	and	0
vnworthy	vnworthy	j-u	unworthy	worthy	0
to	to	pc-acp	to	to	0
liue	liue	vvi	live	live	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
ciuill	ciuill	j	civil	civil	0
garboyles	garboyles	n2	garboils	garboil	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
carelesse	carelesse	j	careless	careless	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
weale	weale	n1	weal	weal	0
publike	publike	j	public	public	0
,	,	,	,	,	0
withdrew	withdrew	vvd	withdrew	withdraw	0
himselfe	himselfe	px31	himself	himself	0
and	and	cc	and	and	0
became	became	vvd	became	become	0
a	a	dt	a	a	0
neuter	neuter	n1	neuter	neuter	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
law	law	n1	law	law	0
,	,	,	,	,	0
albeit	albeit	cs	albeit	albeit	0
proceeding	proceeding	vvg	proceeding	proceed	0
from	from	p-acp	from	from	0
a	a	dt	a	a	0
Pa	Pa	wd	Pa	pa	0
∣	∣	sy	∣	∣	0
gan	gan	vvd	gan	begin	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
holding	holding	vvg	holding	hold	0
affinitie	affinitie	n1	affinity	affinity	0
with	with	p-acp	with	with	0
ho	ho	uh	ho	ho	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
writ	writ	n1	writ	writ	0
,	,	,	,	,	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
but	but	p-acp	but	but	0
approue	approue	vvi	approve	approve	0
,	,	,	,	,	0
and	and	cc	and	and	0
wish	wish	vvb	wish	wish	0
the	the	dt	the	the	0
same	same	d	same	same	0
were	were	vbdr	were	be	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
force	force	n1	force	force	0
among	among	p-acp	among	among	0
Christians	Christians	np1	Christians	Christians	0
.	.	.	.	.	1
Professed	Professed	j-vvn	Professed	profess	0
Christians	Christians	np1	Christians	Christians	0
I	I	pns11	I	i	0
meane	meane	vvb	mean	mean	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
factious	factious	j	factious	factious	0
broyles	broyles	n2	broils	broil	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
common	common	j	common	common	0
wealth	wealth	n1	wealth	wealth	0
of	of	pp-f	of	of	0
Israel	Israel	np1	Israel	Israel	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
Religion	Religion	n1	Religion	religion	0
seemeth	seemeth	vvz	seems	seem	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
rent	rent	vvn	rend	rend	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
two	two	crd	two	two	0
,	,	,	,	,	0
each	each	d	each	each	0
part	part	n1	part	part	0
challenging	challenging	vvg	challenging	challenge	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
as	as	p-acp	as	as	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
proper	proper	j	proper	proper	0
,	,	,	,	,	0
whereas	whereas	cs	whereas	whereas	0
but	but	p-acp	but	but	0
one	one	crd	one	one	0
Truth	Truth	n1	Truth	truth	0
there	there	a-acp	there	there	0
is	is	vbz	is	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
same	same	d	same	same	0
indiuisible	indiuisible	j	indivisible	indivisible	0
)	)	)	)	)	0
are	are	vbr	are	be	0
either	either	d	either	either	0
carelesse	carelesse	j	careless	careless	0
and	and	cc	and	and	0
negligent	negligent	j	negligent	negligent	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
worke	worke	vvb	work	work	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
accursed	accursed	j-vvn	accursed	accurse	0
:	:	:	:	:	0
or	or	cc	or	or	0
els	els	av	else	else	0
become	become	vvb	become	become	0
luke-warme	luke-warme	j	lukewarm	lukewarm	0
,	,	,	,	,	0
awaiting	awaiting	vvg	awaiting	await	0
onely	onely	av-j	only	only	0
occasion	occasion	n1	occasion	occasion	0
to	to	pc-acp	to	to	0
runne	runne	vvi	run	run	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
streame	streame	n1	stream	stream	0
,	,	,	,	,	0
and	and	cc	and	and	0
cleaue	cleaue	vvb	cleave	cleave	0
to	to	p-acp	to	to	0
time	time	n1	time	time	0
and	and	cc	and	and	0
stronger	stronger	jc	stronger	strong	0
part	part	n1	part	part	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
better	better	jc	better	better	0
safetie	safetie	n1	safety	safety	0
.	.	.	.	.	1
Both	Both	av-d	Both	both	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
abominable	abominable	j	abominable	abominable	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
spued	spued	vvd	spewed	spew	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
sacred	sacred	j	sacred	sacred	0
mouth	mouth	n1	mouth	mouth	0
:	:	:	:	:	0
&	&	cc	&	and	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
shun	shun	vvi	shun	shun	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
Apostle	Apostle	n1	Apostle	apostle	0
willeth	willeth	vvz	wills	will	0
.	.	.	.	.	1
Sith	Sith	a-acp	Sith	sith	0
hated	hated	vvd	hated	hate	0
then	then	av	then	then	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
detested	detested	j-vvn	detested	detest	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
,	,	,	,	,	0
I	I	pns11	I	i	0
conculde	conculde	vmd	conculde	conculde	0
with	with	p-acp	with	with	0
Solon	Solon	np1	Solon	Solon	0
,	,	,	,	,	0
such	such	d	such	such	0
Foxes	Foxes	n2	Foxes	fox	0
not	not	xx	not	not	0
worthy	worthy	j	worthy	worthy	0
to	to	pc-acp	to	to	0
liue	liue	vvi	live	live	0
among	among	p-acp	among	among	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
&	&	cc	&	and	0
would	would	vmd	would	will	0
God	God	np1	God	God	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
cut	cut	vvn	cut	cut	0
off	off	a-acp	off	off	0
from	from	p-acp	from	from	0
destroying	destroying	vvg	destroying	destroy	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
vine	vine	n1	vine	vine	0
∣	∣	sy	∣	∣	0
yard	yard	n1	yard	yard	0
.	.	.	.	.	1
The	The	dt	The	the	0
consideration	consideration	n1	consideration	consideration	0
whereof	whereof	c-crq	whereof	whereof	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
(	(	(	(	(	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
beit	beit	cs	beit	beit	0
simple	simple	j	simple	simple	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
vnworthy	vnworthy	j	unworthy	unworthy	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
thousands	thousands	crd	thousands	thousand	0
,	,	,	,	,	0
se	se	zz	se	se	0
∣	∣	sy	∣	∣	0
cluded	cluded	vvn	cluded	clude	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
cut	cut	vvd	cut	cut	0
off	off	a-acp	off	off	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
societie	societie	n1	society	society	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
,	,	,	,	,	0
or	or	cc	or	or	0
meanes	meanes	n2	means	mean	0
of	of	pp-f	of	of	0
imployment	imployment	n1	employment	employment	0
to	to	p-acp	to	to	0
benefit	benefit	n1	benefit	benefit	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
of	of	pp-f	of	of	0
right	right	j-jn	right	right	0
it	it	pn31	it	it	0
claimeth	claimeth	vvz	claimeth	claim	0
)	)	)	)	)	0
my	my	po11	my	my	0
natiue	natiue	j-jn	native	native	0
country	country	n1	country	country	0
)	)	)	)	)	0
am	am	vbm	am	be	0
also	also	av	also	also	0
a	a	dt	a	a	0
member	member	n1	member	member	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Christian	Christian	np1	Christian	Christian	0
cōmon	cōmon	j	common	common	0
wealth	wealth	n1	wealth	wealth	0
:	:	:	:	:	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
me	me	pno11	me	i	0
charie	charie	j	chary	chary	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
taxed	taxed	vvn	taxed	tax	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
guilt	guilt	n1	guilt	guilt	0
of	of	pp-f	of	of	0
like	like	j	like	like	0
crime	crime	n1	crime	crime	0
:	:	:	:	:	0
&	&	cc	&	and	0
careful	careful	j	careful	careful	0
to	to	pc-acp	to	to	0
auoid	auoid	vvi	avoid	avoid	0
the	the	dt	the	the	0
note	note	n1	note	note	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
the	the	dt	the	the	0
one	one	crd	one	one	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
prickt	prickt	vvd	pricked	prick	0
there	there	pc-acp	there	there	0
∣	∣	sy	∣	∣	0
fore	fore	av	before	fore	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
