'T	'T	pn31	IT	it	0
Will	Will	vmb	Will	will	0
need	need	vvi	need	need	0
no	no	dx	no	no	0
Excuse	Excuse	n1	Excuse	excuse	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
lay	lay	vvi	lay	lay	0
any	any	d	any	any	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Labours	Labours	n2	Labours	labour	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Feet	Feet	n2	Feet	foot	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
all	all	d	all	all	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
perform	perform	vvi	perform	perform	0
is	is	vbz	is	be	0
so	so	av	so	so	0
just	just	j	just	just	0
a	a	dt	a	a	0
Debt	Debt	n1	Debt	debt	0
,	,	,	,	,	0
and	and	cc	and	and	0
but	but	p-acp	but	but	0
the	the	dt	the	the	0
natural	natural	j	natural	natural	0
effect	effect	n1	effect	effect	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Duty	Duty	n1	Duty	duty	0
I	I	pns11	I	i	0
owe	owe	vvb	owe	owe	0
,	,	,	,	,	0
both	both	d	both	both	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Subject	Subject	j-jn	Subject	subject	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
best	best	js	best	best	0
of	of	pp-f	of	of	0
Prin	Prin	n1	Prin	prin	0
∣	∣	sy	∣	∣	0
ces	ces	fw-fr	ces	ces	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Servant	Servant	n1	Servant	servant	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
best	best	js	best	best	0
of	of	pp-f	of	of	0
Masters	Masters	n2	Master's	master	0
;	;	;	;	;	0
nor	nor	ccx	nor	nor	0
,	,	,	,	,	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
,	,	,	,	,	0
will	will	vmb	will	will	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
Presumption	Presumption	n1	Presumption	presumption	0
in	in	p-acp	in	in	0
One	One	crd	One	one	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
had	had	vhn	had	have	0
the	the	dt	the	the	0
Honour	Honour	n1	Honour	honour	0
to	to	pc-acp	to	to	0
stand	stand	vvi	stand	stand	0
by	by	p-acp	by	by	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
Dangers	Dangers	n2	Dangers	danger	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
nothing	nothing	pix	nothing	nothing	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
Divine	Divine	j-jn	Divine	divine	0
Providence	Providence	n1	Providence	providence	0
which	which	r-crq	which	which	0
preserv'd	preserv'd	vvd	preserved	preserve	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
Crown	Crown	n1	Crown	crown	0
,	,	,	,	,	0
could	could	vmd	could	can	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
your	your	po22	your	your	0
Shield	Shield	n1	Shield	shield	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
presage	presage	vvi	presage	presage	0
,	,	,	,	,	0
that	that	cst	that	that	0
'tis	'tis	pn31|vbz	it's	it|be	0
for	for	p-acp	for	for	0
some	some	d	some	some	0
great	great	j	great	great	0
and	and	cc	and	and	0
extraordinary	extraordinary	j	extraordinary	extraordinary	0
Blessing	Blessing	n1	Blessing	blessing	0
to	to	p-acp	to	to	0
these	these	d	these	these	0
Kingdoms	Kingdoms	n2	Kingdoms	kingdom	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
now	now	av	now	now	0
seated	seated	vvn	seated	seat	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Throne	Throne	n1	Throne	throne	0
.	.	.	.	.	1
And	And	cc	And	and	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
reasonable	reasonable	j	reasonable	reasonable	0
to	to	pc-acp	to	to	0
expect	expect	vvi	expect	expect	0
,	,	,	,	,	0
that	that	cst	that	that	0
,	,	,	,	,	0
so	so	av	so	so	0
much	much	d	much	much	0
natural	natural	j	natural	natural	0
Good	Good	j	Good	good	0
∣	∣	sy	∣	∣	0
ness	ness	n1	ness	ness	0
,	,	,	,	,	0
so	so	av	so	so	0
great	great	j	great	great	0
Courage	Courage	n1	Courage	courage	0
,	,	,	,	,	0
and	and	cc	and	and	0
Bravery	Bravery	n1	Bravery	bravery	0
of	of	pp-f	of	of	0
Mind	Mind	n1	Mind	mind	0
,	,	,	,	,	0
so	so	av	so	so	0
sacred	sacred	j	sacred	sacred	0
a	a	dt	a	a	0
Reverence	Reverence	n1	Reverence	reverence	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
Word	Word	n1	Word	word	0
,	,	,	,	,	0
so	so	av	so	so	0
tender	tender	j	tender	tender	0
a	a	dt	a	a	0
regard	regard	n1	regard	regard	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Dependants	Dependants	n2-jn	Dependants	dependent	0
,	,	,	,	,	0
so	so	av	so	so	0
true	true	j	true	true	0
a	a	dt	a	a	0
Love	Love	n1	Love	love	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Country	Country	n1	Country	country	0
,	,	,	,	,	0
so	so	av	so	so	0
invio	invio	fw-la	invio	invio	0
∣	∣	sy	∣	∣	0
lable	lable	n1	lable	lable	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
and	and	cc	and	and	0
Allegiance	Allegiance	n1	Allegiance	allegiance	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Sovereign	Sovereign	n-jn	Sovereign	sovereign	0
,	,	,	,	,	0
all	all	d	all	all	0
which	which	r-crq	which	which	0
made	made	vvd	made	make	0
you	you	pn22	you	you	0
so	so	av	so	so	0
much	much	av-d	much	much	0
