REuerend	REuerend	n-jn	REuerend	reuerend	0
Sir	Sir	n1	Sir	sir	0
;	;	;	;	;	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
,	,	,	,	,	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
,	,	,	,	,	0
is	is	vbz	is	be	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Presse	Presse	vvb	Press	press	0
before	before	p-acp	before	before	0
you	you	pn22	you	you	0
expected	expected	vvd	expected	expect	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
glorious	glorious	j	glorious	glorious	0
Chappell	Chappell	n1	Chapel	chapel	0
occasio	occasio	fw-la	occasio	occasio	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
it	it	pn31	it	it	0
,	,	,	,	,	0
)	)	)	)	)	0
so	so	av	so	so	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
minister	minister	vvi	minister	minister	0
occasion	occasion	n1	occasion	occasion	0
of	of	pp-f	of	of	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
petuall	petuall	j	petuall	petuall	0
remembrance	remembrance	n1	remembrance	remembrance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Chappell	Chappell	n1	Chapel	chapel	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
maining	maining	vvg	maining	main	0
its	its	pn31|vbz	its	it|be	0
first	first	ord	first	first	0
Monument	Monument	n1	Monument	monument	0
.	.	.	.	.	1
And	And	cc	And	and	0
altho	altho	cs	although	although	0
both	both	d	both	both	0
these	these	d	these	these	0
were	were	vbdr	were	be	0
confined	confined	vvn	confined	confine	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
priuate	priuate	j	private	private	0
;	;	;	;	;	0
the	the	dt	the	the	0
Chap	Chap	n1	Chap	chap	0
∣	∣	sy	∣	∣	0
pell	pell	av	pell	pell	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Family	Family	n1	Family	family	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Right	Right	j-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
the	the	dt	the	the	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Exceter	Exceter	np1	Exceter	Exeter	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
giuen	giuen	vvn	given	give	0
the	the	dt	the	the	0
materiall	materiall	j-jn	material	material	0
thereof	thereof	av	thereof	thereof	0
sufficient	sufficient	j	sufficient	sufficient	0
luster	luster	n1	luster	luster	0
:	:	:	:	:	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Copie	Copie	n1	Copy	copy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Sermon	Sermon	n1	Sermon	sermon	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Cabinet	Cabinet	n1	Cabinet	cabinet	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
truly	truly	av-j	truly	true	0
Noble	Noble	j	Noble	noble	0
,	,	,	,	,	0
and	and	cc	and	and	0
vertuous	vertuous	j	virtuous	virtuous	0
Lady	Lady	n1	Lady	lady	0
,	,	,	,	,	0
his	his	po31	his	his	0
Countesse	Countesse	n1	Countess	countess	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
both	both	d	both	both	0
these	these	d	these	these	0
are	are	vbr	are	be	0
much	much	d	much	much	0
and	and	cc	and	and	0
oft	oft	av	oft	oft	0
required	required	vvd	required	require	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
publike	publike	j	public	public	0
;	;	;	;	;	0
the	the	dt	the	the	0
Sermon	Sermon	n1	Sermon	sermon	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
an	an	dt	and	a	0
instruction	instruction	n1	instruction	instruction	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
;	;	;	;	;	0
the	the	dt	the	the	0
Chappell	Chappell	n1	Chapel	chapel	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
an	an	dt	and	a	0
example	example	n1	example	example	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
.	.	.	.	.	1
The	The	dt	The	the	0
Sermon	Sermon	n1	Sermon	sermon	0
to	to	pc-acp	to	to	0
teach	teach	vvi	teach	teach	0
all	all	d	all	all	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
all	all	d	all	all	0
glorious	glorious	j	glorious	glorious	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
soules	soules	n2	souls	soul	0
.	.	.	.	.	1
The	The	dt	The	the	0
Chappell	Chappell	n1	Chapel	chapel	0
to	to	pc-acp	to	to	0
teach	teach	vvi	teach	teach	0
some	some	d	some	some	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
build	build	vvb	built	build	0
hou	hou	uh-crq	how	how	0
∣	∣	sy	∣	∣	0
ses	ses	fw-fr	ses	ses	0
for	for	c-acp	for	for	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
habitation	habitation	n1	habitation	habitation	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
vp	vp	a-acp	up	up	0
ano	ano	av	anon	anon	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
for	for	p-acp	for	for	0
Gods	Gods	ng1	Gods	god	0
Religion	Religion	n1	Religion	religion	0
.	.	.	.	.	1
The	The	dt	The	the	0
Sermon	Sermon	n1	Sermon	sermon	0
was	was	vbds	was	be	0
craued	craued	vvn	craved	crave	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
hands	hands	n2	hands	hand	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Honourable	Honourable	j	Honourable	honourable	0
La	La	uh	La	la	0
∣	∣	sy	∣	∣	0
dy	dy	vvi	die	die	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
come	come	vvi	come	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Presse	Presse	vvb	Press	press	0
;	;	;	;	;	0
who	who	r-crq	who	who	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
owne	owne	d	own	own	0
pious	pious	j	pious	pious	0
disposition	disposition	n1	disposition	disposition	0
,	,	,	,	,	0
gaue	gaue	vvd	gave	give	0
forth	forth	av	forth	forth	0
the	the	dt	the	the	0
Copie	Copie	n1	Copy	copy	0
;	;	;	;	;	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
her	her	po31	her	her	0
Noble	Noble	j	Noble	noble	0
esteeme	esteeme	n1	esteem	esteem	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
worth	worth	n1	worth	worth	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Sermon	Sermon	n1	Sermon	sermon	0
,	,	,	,	,	0
was	was	vbds	was	be	0
willing	willing	j	willing	willing	0
and	and	cc	and	and	0
desirous	desirous	j	desirous	desirous	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
it	it	pn31	it	it	0
way	way	n1	way	way	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Printer	Printer	np1	Printer	Printer	0
.	.	.	.	.	1
And	And	cc	And	and	0
this	this	d	this	this	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
impart	impart	vvi	impart	impart	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
courteous	courteous	j	courteous	courteous	0
Reader	Reader	n1	Reader	reader	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
satisfied	satisfied	vvn	satisfied	satisfy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
meanes	meanes	n2	means	mean	0
how	how	c-crq	how	how	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
why	why	c-crq	why	why	0
it	it	pn31	it	it	0
comes	comes	vvz	comes	come	0
in	in	p-acp	in	in	0
publike	publike	j	public	public	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
praying	praying	vvg	praying	pray	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
desiring	desiring	vvg	desiring	desire	0
your	your	po22	your	your	0
prayers	prayers	n2	prayers	prayer	0
for	for	p-acp	for	for	0
me	me	pno11	me	i	0
,	,	,	,	,	0
I	I	pns11	I	i	0
remaine	remaine	vvb	remain	remain	1
