NOBLES	NOBLES	np1	NOBLES	Nobles	0
and	and	cc	and	and	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
salute	salute	vvi	salute	salute	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
sentence	sentence	n1	sentence	sentence	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
Author	Author	n1	Author	author	0
sir	sir	n1	sir	sir	0
Iohn	Iohn	np1	Iohn	John	0
Froysard	Froysard	n1	Froysard	froysard	0
,	,	,	,	,	0
The	The	dt	The	the	0
aduentures	aduentures	n2	adventures	adventure	0
of	of	pp-f	of	of	0
armes	armes	n2	arms	arm	0
(	(	(	(	(	0
saith	saith	vvz	says	say	0
he	he	pns31	he	he	0
)	)	)	)	)	0
are	are	vbr	are	be	0
so	so	av	so	so	0
diuers	diuers	j	diverse	diverse	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
far	far	av-j	far	far	0
oftentimes	oftentimes	av	oftentimes	oftentimes	0
beyond	beyond	p-acp	beyond	beyond	0
expectation	expectation	n1	expectation	expectation	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
their	their	po32	their	their	0
effects	effects	n2	effects	effect	0
causeth	causeth	vvz	causeth	cause	0
great	great	j	great	great	0
admira	admira	n1	admira	admira	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
saying	saying	vvg	saying	say	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
caused	caused	vvd	caused	cause	0
me	me	pno11	me	i	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
attention	attention	n1	attention	attention	0
to	to	pc-acp	to	to	0
read	read	vvi	read	read	0
ouer	ouer	p-acp	over	over	0
his	his	po31	his	his	0
works	works	n2	works	work	0
,	,	,	,	,	0
and	and	cc	and	and	0
finding	finding	vvg	finding	find	0
the	the	dt	the	the	0
same	same	d	same	same	0
most	most	av-ds	most	most	0
truly	truly	av-j	truly	true	0
prosecuted	prosecuted	vvd	prosecuted	prosecute	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
historie	historie	n1	history	history	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
especially	especially	av-j	especially	especial	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
actions	actions	n2	actions	action	0
and	and	cc	and	and	0
aduentures	aduentures	n2	adventures	adventure	0
of	of	pp-f	of	of	0
two	two	crd	two	two	0
famous	famous	j	famous	famous	0
Capitains	Capitains	n2	Captains	captain	0
Sage	Sage	j-jn	Sage	sage	0
and	and	cc	and	and	0
Imaginatiue	Imaginatiue	j	Imaginative	imaginative	0
